DATE,BOGZ1FL893169105Q
1945-10-01,159.0
1946-10-01,344.0
1947-10-01,501.0
1948-10-01,674.0
1949-10-01,838.0
1950-10-01,921.0
1951-10-01,1333.0
1952-01-01,1646.0
1952-04-01,1807.0
1952-07-01,1977.0
1952-10-01,1749.0
1953-01-01,1980.0
1953-04-01,1816.0
1953-07-01,2056.0
1953-10-01,2045.0
1954-01-01,2393.0
1954-04-01,2244.0
1954-07-01,2300.0
1954-10-01,2022.0
1955-01-01,2297.0
1955-04-01,2385.0
1955-07-01,2342.0
1955-10-01,2101.0
1956-01-01,2659.0
1956-04-01,2530.0
1956-07-01,2588.0
1956-10-01,2250.0
1957-01-01,2764.0
1957-04-01,2526.0
1957-07-01,2636.0
1957-10-01,2746.0
1958-01-01,3608.0
1958-04-01,3507.0
1958-07-01,3279.0
1958-10-01,2847.0
1959-01-01,3379.0
1959-04-01,3501.0
1959-07-01,3448.0
1959-10-01,3202.0
1960-01-01,4495.0
1960-04-01,4627.0
1960-07-01,4728.0
1960-10-01,4497.0
1961-01-01,5078.0
1961-04-01,4936.0
1961-07-01,4875.0
1961-10-01,4686.0
1962-01-01,5715.0
1962-04-01,5865.0
1962-07-01,6577.0
1962-10-01,6000.0
1963-01-01,7101.0
1963-04-01,7253.0
1963-07-01,7186.0
1963-10-01,6790.0
1964-01-01,7790.0
1964-04-01,8096.0
1964-07-01,8528.0
1964-10-01,8442.0
1965-01-01,9177.0
1965-04-01,9502.0
1965-07-01,9863.0
1965-10-01,9300.0
1966-01-01,11034.0
1966-04-01,11091.0
1966-07-01,12123.0
1966-10-01,13645.0
1967-01-01,16493.0
1967-04-01,16607.0
1967-07-01,16754.0
1967-10-01,17085.0
1968-01-01,19127.0
1968-04-01,19511.0
1968-07-01,20976.0
1968-10-01,21173.0
1969-01-01,24424.0
1969-04-01,26802.0
1969-07-01,30479.0
1969-10-01,32600.0
1970-01-01,38284.0
1970-04-01,38952.0
1970-07-01,35241.0
1970-10-01,33071.0
1971-01-01,32695.0
1971-04-01,30902.0
1971-07-01,31682.0
1971-10-01,32126.0
1972-01-01,33615.0
1972-04-01,34366.0
1972-07-01,34012.0
1972-10-01,34721.0
1973-01-01,34052.0
1973-04-01,35786.0
1973-07-01,37641.0
1973-10-01,41073.0
1974-01-01,44690.0
1974-04-01,44846.0
1974-07-01,49166.0
1974-10-01,49144.0
1975-01-01,50827.0
1975-04-01,48766.0
1975-07-01,48257.0
1975-10-01,47690.0
1976-01-01,49338.0
1976-04-01,50047.0
1976-07-01,49852.0
1976-10-01,52041.0
1977-01-01,54671.0
1977-04-01,59372.0
1977-07-01,59952.0
1977-10-01,63878.0
1978-01-01,67215.0
1978-04-01,72884.0
1978-07-01,74945.0
1978-10-01,82236.0
1979-01-01,90229.0
1979-04-01,100201.0
1979-07-01,104935.0
