DATE,REQRESNS,3m growth rate,12m growth rate
1959-01-01,18.392,,
1959-02-01,18.117,,
1959-03-01,17.971,,
1959-04-01,18.246,-3.137683966157867,
1959-05-01,18.131,0.3094604231165698,
1959-06-01,18.048,1.7249189418282018,
1959-07-01,18.267,0.4611702805509043,
1959-08-01,18.144,0.2871102148351179,
1959-09-01,18.18,2.957783957591942,
1959-10-01,18.166,-2.193363449311614,
1959-11-01,18.177,0.7295004183116127,
1959-12-01,18.45,6.0742491877385785,
1960-01-01,18.333,3.728217368363018,-0.3207916485428508
1960-02-01,17.759,-8.885981739149774,-1.976044598995419
1960-03-01,17.609,-17.023847772069434,-2.014356463190692
1960-04-01,17.698,-13.151442535422554,-3.0033980050421905
1960-05-01,17.77,0.247991990336982,-1.991065026749772
1960-06-01,17.828,5.06830541424359,-1.2189716312056675
1960-07-01,18.013,7.311788489947846,-1.3904855750807354
1960-08-01,17.957,4.276253547141296,-1.030643738977055
1960-09-01,17.933,2.376739093987168,-1.358635863586355
1960-10-01,18.099,1.9234519773045244,-0.3688208741605248
1960-11-01,18.242,6.50124260999696,0.3575947626121012
1960-12-01,18.518,13.701063039694072,0.36856368563686903
1961-01-01,18.565,10.703536288580697,1.265477554137373
1961-02-01,18.312,1.5437769559458747,3.1139140717382885
1961-03-01,18.265,-5.353973208290053,3.725367709693894
1961-04-01,18.268,-6.247210716718721,3.2207029042829793
1961-05-01,18.302,-0.2182571348143702,2.993809791783897
1961-06-01,18.431,3.685228784030015,3.3823199461521236
1961-07-01,18.486,4.859500125501204,2.6258813079442556
1961-08-01,18.616,7.041275885376175,3.669878041989194
1961-09-01,18.781,7.815016640461736,4.728712429599047
1961-10-01,19.155,15.280759874881756,5.8345764959390145
1961-11-01,19.217,13.552546868505331,5.344808683258395
1961-12-01,19.547,17.339869562431034,5.556755589156492
1962-01-01,19.473,6.8077656814074405,4.890923781308909
1962-02-01,19.069,-3.04520008948137,4.133901266928786
1962-03-01,19.077,-9.27648526324386,4.445661100465381
1962-04-01,19.224,-5.017504488719382,5.2331946573242805
1962-05-01,19.312,5.195542107192952,5.518522565839801
1962-06-01,19.45,8.05331712967634,5.528728772177294
1962-07-01,19.519,6.280900409855472,5.588012550037846
1962-08-01,19.353,0.8519211139841776,3.958960034379033
1962-09-01,19.577,2.637517845890125,4.23832596773337
1962-10-01,19.721,4.20426054612153,2.954842077786468
1962-11-01,19.013,-6.844305848020749,-1.0615600770151223
1962-12-01,19.482,-1.926970100033132,-0.33253184631913957
1963-01-01,19.537,-3.680155310688305,0.3286601961690616
1963-02-01,19.107,1.9923084723971307,0.19927631233940257
1963-03-01,19.088,-7.847409267748507,0.05766105781830344
1963-04-01,19.151,-7.671810564014258,-0.37973366625052574
1963-05-01,19.219,2.3653870083268247,-0.48156586578292915
1963-06-01,19.353,5.669944944440486,-0.49871465295628914
1963-07-01,19.533,8.220609402296075,0.07172498591117016
1963-08-01,19.26,0.8560567143674591,-0.48054565183692777
1963-09-01,19.539,3.900142960217523,-0.1941053276804383
1963-10-01,19.592,1.2136969343603088,-0.6541250443689584
1963-11-01,19.706,9.589458915396222,3.6448745595119014
1963-12-01,20.211,14.483230716626272,3.741915614413305
1964-01-01,20.239,13.878336147354432,3.593182167169995
1964-02-01,19.752,0.937000273956956,3.375726173653626
1964-03-01,19.856,-6.842924038350972,4.02347024308467
1964-04-01,19.902,-6.495893190743917,3.921466241971716
1964-05-01,19.888,2.7827273369829264,3.4809303293615645
1964-06-01,20.17,6.477178947382178,4.22156771559965
1964-07-01,20.264,7.476575340475811,3.742384682332456
1964-08-01,20.158,5.541999650272711,4.662512980269984
1964-09-01,20.494,6.581869724302014,4.887660576283315
1964-10-01,20.625,7.318630446292018,5.272560228664758
1964-11-01,20.774,12.79523299404106,5.419669136303673
1964-12-01,21.19,14.292280758488385,4.843896887833377
1965-01-01,21.217,11.985057322291294,4.832254558031512
1965-02-01,20.789,0.2891355365605141,5.250101255569062
1965-03-01,20.898,-5.399142611992602,5.2477840451248925
1965-04-01,21.155,-1.1637604907900778,6.295849663350417
1965-05-01,21.142,6.9670150861598,6.305309734513265
1965-06-01,21.358,9.0996680854444,5.889935547843317
1965-07-01,21.521,7.10202231428585,6.203118831425192
1965-08-01,21.185,0.8160318292893765,5.094751463438829
1965-09-01,21.349,-0.1684485974911442,4.171952766663423
1965-10-01,21.625,1.947052645431646,4.8484848484848575
1965-11-01,21.588,7.829046334735734,3.91835948782131
1965-12-01,22.27,18.40518460496068,5.096743747050492
1966-01-01,22.398,15.083350335405,5.5662911815996585
1966-02-01,21.858,5.097418575752588,5.142142479195733
1966-03-01,21.844,-7.434787319683222,4.526748971193428
1966-04-01,22.174,-3.940745565831672,4.816828173008747
1966-05-01,22.121,4.900446447320439,4.630593132153993
1966-06-01,22.206,6.795430428075089,3.9704092143459047
1966-07-01,22.684,9.522256158718,5.404023976581018
1966-08-01,22.31,3.461616144206125,5.310361104555117
1966-09-01,22.851,12.134564145175508,7.0354583352850275
1966-10-01,23.041,6.44536150993642,6.547976878612727
1966-11-01,22.841,9.865711875549431,5.804150453955903
1966-12-01,23.446,10.829200759433654,5.280646609788953
1967-01-01,23.698,11.902936920511875,5.804089650861677
1967-02-01,23.351,9.234916276363858,6.830451093421175
1967-03-01,22.961,-8.021112646144024,5.113532320087888
1967-04-01,23.061,-10.326161002874844,4.000180391449448
1967-05-01,22.908,-7.375311080824353,3.5577053478595078
1967-06-01,23.104,2.5145499042879,4.043952085022062
1967-07-01,23.554,8.829376168326174,3.8353024157996796
