DATE,TOTALSL,3m growth rate,12m growth rate
1948-10-01,15.57962,15.094551799007585,27.648128287039953
1948-11-01,15.60337,10.181386647691816,24.47971139708669
1948-12-01,15.80323,7.636767906388653,22.928571317447144
1949-01-01,15.9017,8.529244734162212,20.20688492592948
1949-02-01,16.00926,10.81827959911279,18.37421289710064
1949-03-01,16.09298,7.538120729643305,15.600190787602264
1949-04-01,16.4132,13.50077391606559,15.06673761415922
1949-05-01,16.6381,16.66212673980654,14.743301508660522
1949-06-01,16.86093,20.49810450166789,14.115884176735838
1949-07-01,17.0611,16.74951036003012,13.426324512667232
1949-08-01,17.35549,18.39479172538909,13.95818696363027
1949-09-01,17.69516,21.3086791671012,14.050920584667637
1949-10-01,18.02132,24.48535999139303,15.672397657965975
1949-11-01,18.43599,27.3263638576668,18.153898805194004
1949-12-01,18.77221,26.66121219762063,18.787171989523664
1950-01-01,19.05087,24.88574252742295,19.803983221919673
1950-02-01,19.37163,21.898624761760168,21.002657212138452
1950-03-01,19.73483,22.14394506112667,22.630053601011113
1950-04-01,20.14838,25.112665988288164,22.75717105744157
1950-05-01,20.62168,28.41965883746742,23.942517474952062
1950-06-01,21.11884,31.143473123659525,25.25311474515344
1950-07-01,22.08629,44.38781648828408,29.45407974866803
1950-08-01,22.72826,47.5599780835213,30.957178391390848
1950-09-01,23.17157,44.92443061197196,30.94863228136957
1950-10-01,23.24215,22.63491027136002,28.970297403297863
1950-11-01,23.25856,9.664619503014716,26.158454197469183
1950-12-01,23.22916,0.9978616887227788,23.742276482097722
1951-01-01,23.7976,9.907528754168805,24.916079948054872
1951-02-01,24.10942,15.455801150259465,24.45736368080538
1951-03-01,24.28096,19.379400210495845,23.03607378426873
1951-04-01,24.07615,4.764831754717047,19.494222364279402
1951-05-01,23.99488,-1.8868366026242975,16.35754215951366
1951-06-01,23.84103,-7.05272904914267,12.88986516304873
1951-07-01,23.70657,-6.000243682830986,7.336134769578773
1951-08-01,23.94011,-0.9099067906875312,5.331908381899897
1951-09-01,24.09829,4.386623164436676,3.999383727559236
1951-10-01,24.28801,10.177481979919968,4.499841882097821
1951-11-01,24.63974,12.212158626871084,5.938372796940139
1951-12-01,24.62795,9.085781488187727,6.021698589187041
1952-01-01,24.80192,8.736031130955023,4.220257504958491
1952-02-01,25.15192,8.577562752186818,4.324035999206943
1952-03-01,25.19558,9.542938835022133,3.766819763304241
1952-04-01,25.54805,12.587407898190753,6.1135189804017775
1952-05-01,26.14647,16.77978800345439,8.966871265870058
1952-06-01,26.76243,27.293062904344968,12.253665214967647
1952-07-01,27.21019,28.675323135368245,14.779109757337316
1952-08-01,27.46878,21.81625103297429,14.739573042897458
1952-09-01,27.86982,17.60735363282995,15.650612553836819
1952-10-01,28.49656,20.29385691191663,17.327685553489136
1952-11-01,29.04911,25.075958635501607,17.89535928544701
1952-12-01,29.68558,28.71984241066987,20.536138817887828
1953-01-01,30.47945,30.87562139617868,22.891493884344438
1953-02-01,30.88661,27.80553215741357,22.80020769786164
1953-03-01,31.63933,29.040773711647304,25.57492226811211
1953-04-01,32.11735,23.290698835521194,25.713508467378144
1953-05-01,32.43182,21.56381094179869,24.039000293347446
1953-06-01,32.50158,11.354759049920094,21.44480153708015
1953-07-01,32.7923,8.674761545425792,20.514777735840852
1953-08-01,33.06061,7.983690475036465,20.357038062848076
1953-09-01,33.25574,9.60959397602046,19.325277307137267
1953-10-01,33.48228,8.685743796506173,17.495866167705863
1953-11-01,33.55831,6.159014088250725,15.522678663821377
1953-12-01,33.69692,5.413046043626535,13.512756024979122
1954-01-01,34.0649,7.1441287750815485,11.763499669449429
1954-02-01,33.70135,1.715904631478704,9.113139965829852
1954-03-01,33.50766,-2.227758302064331,5.905087117837193
1954-04-01,33.7065,-4.142485999028911,4.947948694397253
1954-05-01,33.7048,0.040954202722454,3.92509578555873
1954-06-01,33.81539,3.724464712503428,4.042295789927763
1954-07-01,34.0572,4.227212696962246,3.857307965589496
1954-08-01,34.00956,3.666165639914576,2.870334213434056
1954-09-01,34.13728,3.8623285019265374,2.6507905101495144
1954-10-01,34.36337,3.644732333300582,2.631511354662819
1954-11-01,34.60856,7.233397179355205,3.129627207091179
1954-12-01,35.02827,10.855972749011777,3.9509545679545788
1955-01-01,35.37251,12.27434210571332,3.838584584132043
1955-02-01,35.92541,16.11085287426226,6.599320205273673
1955-03-01,36.53032,18.287581372894746,9.020803004447341
1955-04-01,37.23521,22.786810405251437,10.468930325011506
1955-05-01,37.73678,21.745362449063,11.962628468348747
1955-06-01,38.53667,23.84624112920408,13.96192680315087
1955-07-01,39.02943,20.712878123957942,14.599644128113876
1955-08-01,39.73277,22.895509158074656,16.828238883419843
1955-09-01,40.39419,20.71990347681547,18.328671762952432
1955-10-01,40.83366,19.81312573200058,18.829032193291862
1955-11-01,41.36682,17.49331928770861,19.52771221917353
1955-12-01,41.86903,15.423963244448167,19.529254513568617
1956-01-01,42.12013,13.21020541774387,19.075886896349758
1956-02-01,42.56107,12.057674301222953,18.47065906833074
1956-03-01,43.20525,13.389931207504713,18.272300927010754
1956-04-01,43.38397,12.553331086937035,16.51329480886503
1956-05-01,43.79961,12.158146330765708,16.06610314923531
1956-06-01,44.05363,8.088803597081217,14.316130584194209
1956-07-01,44.17342,7.479820831211037,13.179772289782354
1956-08-01,44.49886,6.540459724569514,11.995363021505923
1956-09-01,44.77898,6.750517103263731,10.85500167227018
1956-10-01,44.93415,7.068575526181675,10.041935991042683
1956-11-01,45.40079,8.35728110974121,9.751704385302041
1956-12-01,45.44824,6.113708244989091,8.548585911830276
1957-01-01,45.7005,6.998498553054033,8.500377373004287
1957-02-01,46.04224,5.7723461739079385,8.179235155507136
1957-03-01,46.2453,7.201811913795186,7.0362976721578985
1957-04-01,46.51742,7.344221613139679,7.222598577308625
1957-05-01,46.83804,7.094970443029047,6.937116563366663
1957-06-01,47.00029,6.691972898560583,6.688801808159739
1957-07-01,47.36847,7.521410111974758,7.232969509718745
1957-08-01,47.64621,7.082521632637207,7.0728778220386035
1957-09-01,47.74148,6.4587498876074845,6.615827336844227
1957-10-01,47.879,4.381337065009139,6.553701360769026
1957-11-01,47.95967,2.6576462298442127,5.636201484599712
1957-12-01,48.07827,2.851780829326489,5.786868754433616
1958-01-01,48.29247,3.4992946622596666,5.671644730364012
1958-02-01,48.09752,1.1546824320292304,4.463900974409585
1958-03-01,47.77344,-2.5120967977159903,3.3044222872378404
1958-04-01,47.6625,-5.116739872995346,2.4616154550273883
1958-05-01,47.61828,-3.926396158615597,1.6658254700666397
1958-06-01,47.50736,-2.2093053795555484,1.0788656835947208
1958-07-01,47.55228,-0.9218002566540706,0.3880429323556367
1958-08-01,47.59298,-0.2123541125880979,-0.11171927420881023
1958-09-01,47.71292,1.742029122677291,-0.0598221923576836
1958-10-01,47.82317,2.298216303402767,-0.11660644541447995
1958-11-01,47.98748,3.3570682022691534,0.05798622050567914
1958-12-01,48.39435,5.836302929160331,0.6574279814976602
1959-01-01,48.96116,9.86348049202732,1.3846672162347362
1959-02-01,49.51371,13.34179812281404,2.9444137660320058
1959-03-01,50.00773,14.01708144629188,4.676845544302455
1959-04-01,50.46343,12.849663925703902,5.8765906110674
1959-05-01,51.00724,12.622567337746736,7.116930724923298
1959-06-01,51.67544,14.021872408318735,8.77354582532055
1959-07-01,52.35685,15.874260160688314,10.103763689143808
1959-08-01,53.03853,16.906488834181445,11.44191853504446
1959-09-01,53.68375,16.47551734943782,12.5140737561231
1959-10-01,54.36595,16.2556012231869,13.681192610192916
1959-11-01,54.79481,13.91785169838502,14.185637587137311
1959-12-01,56.01068,18.49826732781439,15.738056198709138
1960-01-01,56.01558,12.700910072824945,14.408196211037483
1960-02-01,56.36463,11.961559843479774,13.836410157913836
1960-03-01,56.86288,6.2262933273382615,13.70818071526141
1960-04-01,57.7114,12.67072549904682,14.362816796242338
1960-05-01,57.95103,11.742400175276169,13.613341949103685
1960-06-01,58.38706,11.160635640264772,12.988026807318898
1960-07-01,58.74671,7.371188350217905,12.204439342703012
1960-08-01,58.94715,7.054915388929728,11.140240877716634
1960-09-01,59.36465,6.867393384050735,10.582159405779201
1960-10-01,59.62899,6.144040147161012,9.680765258401625
1960-11-01,59.87401,6.439330008536981,9.269491033913614
1960-12-01,60.02531,4.5264016581078925,7.167615176248532
1961-01-01,60.67185,7.181328864954439,8.312455213353132
1961-02-01,60.31013,2.945573233353138,6.99995724268927
1961-03-01,60.45546,2.8974171357559757,6.3179705284009735
1961-04-01,60.07587,-3.871686077144642,4.097058813336707
1961-05-01,60.17969,-0.8623256645970745,3.845764259927731
1961-06-01,60.33475,-0.7962817767315888,3.3358247529504004
1961-07-01,60.39598,2.1484674347092447,2.8074253009232386
1961-08-01,60.61948,2.955378956309662,2.8369989049513045
1961-09-01,60.88309,3.68517716658856,2.557818499730069
1961-10-01,61.15822,5.144659009111097,2.564574714413248
1961-11-01,61.74829,7.659141938131286,3.1303732621215774
1961-12-01,62.24853,9.277224454120136,3.7038042785618286
1962-01-01,62.2828,7.560587798641993,2.6551852300531475
1962-02-01,62.64035,5.905121311938544,3.8637290286059667
1962-03-01,63.12857,5.776065028093869,4.421618824834028
1962-04-01,63.86691,10.568420201481588,6.3104204733114955
1962-05-01,64.60104,13.120505212766709,7.346913884069517
1962-06-01,65.13742,13.349185637680572,7.960039612329561
1962-07-01,65.51218,10.709422847800498,8.471093605898927
1962-08-01,66.05512,9.312016214001329,8.966820566590151
1962-09-01,66.43833,8.231236134567531,9.124438329263484
1962-10-01,67.02888,9.587153270073069,9.599134834205447
1962-11-01,67.6421,9.96193792683675,9.544895899141492
1962-12-01,68.12672,10.559251685870464,9.443098495659253
1963-01-01,68.65646,10.07223300871698,10.233419178328518
1963-02-01,69.37675,10.659187243726477,10.75409061411694
1963-03-01,70.07341,11.929119772070852,11.001104571194942
1963-04-01,70.80161,13.095911723321985,10.858048400963828
1963-05-01,71.33514,11.778497328659563,10.424135586671657
1963-06-01,71.87559,10.691094556264758,10.344545424120266
1963-07-01,72.71645,11.264889351135988,10.996840587506007
1963-08-01,73.57616,13.17080366237584,11.386006111259817
1963-09-01,74.16977,13.391901557646444,11.63701736633056
1963-10-01,75.11295,13.84883770185068,12.060577470487344
1963-11-01,75.60692,11.505865919442826,11.774944893786564
1963-12-01,76.58145,13.65449357365991,12.410299512437994
1964-01-01,77.46136,13.104841436164415,12.82457615787358
1964-02-01,78.33623,15.240326853690366,12.914240001153132
1964-03-01,79.24041,14.62847525653379,13.081995010660963
1964-04-01,79.90816,13.246307766762875,12.862066272221773
1964-05-01,80.83452,13.380087425659704,13.316550580821751
1964-06-01,81.42818,11.509548173750892,13.290450902733442
1964-07-01,82.2945,12.491244530109991,13.171778875343886
1964-08-01,82.97305,11.009657611137502,12.771650491137354
1964-09-01,83.92197,12.824591066497735,13.14848353985727
1964-10-01,84.53018,11.317624865467993,12.5374253041586
1964-11-01,84.94403,9.845742089621435,12.349544195160966
1964-12-01,85.95957,10.071340935050175,12.245942065604654
1965-01-01,87.18259,13.154516193929954,12.549779657883619
1965-02-01,88.15204,15.98398412844464,12.53035791995607
1965-03-01,88.91607,14.483816523709002,12.210512287859189
1965-04-01,90.04741,13.806177443589917,12.688629046144984
1965-05-01,90.88588,12.994212042325092,12.43448962151319
1965-06-01,91.83009,13.767706632755882,12.774336845057821
1965-07-01,92.69463,12.288013173075708,12.6376975375025
1965-08-01,93.2871,10.994306828699752,12.430602466704554
1965-09-01,94.12648,10.38428064826944,12.15952151742863
1965-10-01,94.80453,9.42033927967383,12.15465292987663
1965-11-01,95.40527,9.396414972739665,12.315450538431016
1965-12-01,95.95472,7.998593192265524,11.627733828822073
1966-01-01,97.03072,9.728807114986449,11.29598237446261
1966-02-01,97.75836,10.236691159541069,10.897444914490917
1966-03-01,98.44639,10.798482245637974,10.718332467910452
1966-04-01,98.80509,7.517772016703028,9.725632308580568
1966-05-01,99.30544,6.482081280596752,9.26388125416182
1966-06-01,99.78867,5.566410791647258,8.666636393365179
1966-07-01,100.06144,5.184009593971073,7.94739673700624
1966-08-01,100.5867,5.261627604498975,7.824876108272205
1966-09-01,100.67245,3.589947810779681,6.954440450763699
1966-10-01,100.95307,3.612255407219367,6.485491779770447
1966-11-01,101.43735,3.4259071548679243,6.322585743953124
1966-12-01,101.78822,4.507516573462223,6.079429964466576
1967-01-01,102.19855,5.026964676583212,5.325973052657962
1967-02-01,102.36259,3.698741082033163,4.70980691574614
1967-03-01,102.73216,3.7613464666542473,4.35340493440135
1967-04-01,102.88594,2.7176755555679,4.130202199097233
1967-05-01,103.1514,3.1182283754943807,3.8728593317747695
1967-06-01,103.74104,3.986440386330248,3.960740232332993
1967-07-01,104.09425,4.7810732689957725,4.030333762936045
1967-08-01,104.67752,6.050615296968132,4.066959150663063
1967-09-01,105.17229,5.633806833395005,4.469782944589107
1967-10-01,105.44072,5.275300454946086,4.445283338089667
1967-11-01,106.29661,6.33199388227188,4.790405112120943
1967-12-01,106.84264,6.505766248218925,4.965623723452484
1968-01-01,106.7724,5.1483755975947565,4.475454886590868
1968-02-01,107.92842,6.283444344798306,5.437367303816765
1968-03-01,108.68905,7.093898658102593,5.798466614544084
1968-04-01,109.59758,11.01146644168609,6.523379190587164
