DATE,MYAGM1USM052S
1990-06-01,808900000000.0
1990-07-01,810100000000.0
1990-08-01,815700000000.0
1990-09-01,820100000000.0
1990-10-01,819800000000.0
1990-11-01,822100000000.0
1990-12-01,824700000000.0
1991-01-01,827100000000.0
1991-02-01,832700000000.0
1991-03-01,838800000000.0
1991-04-01,843100000000.0
1991-05-01,848800000000.0
1991-06-01,856700000000.0
1991-07-01,861500000000.0
1991-08-01,866700000000.0
1991-09-01,870200000000.0
1991-10-01,878000000000.0
1991-11-01,887600000000.0
1991-12-01,897000000000.0
1992-01-01,910400000000.0
1992-02-01,925300000000.0
1992-03-01,936700000000.0
1992-04-01,943800000000.0
1992-05-01,950500000000.0
1992-06-01,954300000000.0
1992-07-01,963200000000.0
1992-08-01,973700000000.0
1992-09-01,988100000000.0
1992-10-01,1003800000000.0
1992-11-01,1015700000000.0
1992-12-01,1024900000000.0
1993-01-01,1030400000000.0
1993-02-01,1033500000000.0
1993-03-01,1038600000000.0
1993-04-01,1047600000000.0
1993-05-01,1065900000000.0
1993-06-01,1075100000000.0
1993-07-01,1084500000000.0
1993-08-01,1094200000000.0
1993-09-01,1104200000000.0
1993-10-01,1113000000000.0
1993-11-01,1124200000000.0
1993-12-01,1129600000000.0
1994-01-01,1131600000000.0
1994-02-01,1136300000000.0
1994-03-01,1140200000000.0
1994-04-01,1141100000000.0
1994-05-01,1143300000000.0
1994-06-01,1145100000000.0
1994-07-01,1150600000000.0
1994-08-01,1150600000000.0
1994-09-01,1151900000000.0
1994-10-01,1150100000000.0
1994-11-01,1151000000000.0
1994-12-01,1150600000000.0
1995-01-01,1151400000000.0
1995-02-01,1147400000000.0
1995-03-01,1146700000000.0
1995-04-01,1149300000000.0
1995-05-01,1145400000000.0
1995-06-01,1144200000000.0
1995-07-01,1145400000000.0
1995-08-01,1145500000000.0
1995-09-01,1141900000000.0
1995-10-01,1137300000000.0
1995-11-01,1134000000000.0
1995-12-01,1127500000000.0
1996-01-01,1123500000000.0
1996-02-01,1118400000000.0
1996-03-01,1122500000000.0
1996-04-01,1124800000000.0
1996-05-01,1116600000000.0
1996-06-01,1115100000000.0
1996-07-01,1112500000000.0
1996-08-01,1101600000000.0
1996-09-01,1096100000000.0
1996-10-01,1086200000000.0
1996-11-01,1083200000000.0
1996-12-01,1081500000000.0
1997-01-01,1081300000000.0
1997-02-01,1078800000000.0
1997-03-01,1072100000000.0
1997-04-01,1064000000000.0
1997-05-01,1064000000000.0
1997-06-01,1065700000000.0
1997-07-01,1066300000000.0
1997-08-01,1074200000000.0
1997-09-01,1067700000000.0
1997-10-01,1065500000000.0
1997-11-01,1070100000000.0
1997-12-01,1072800000000.0
1998-01-01,1074300000000.0
1998-02-01,1077900000000.0
1998-03-01,1077200000000.0
1998-04-01,1076700000000.0
1998-05-01,1078100000000.0
1998-06-01,1076800000000.0
1998-07-01,1075100000000.0
1998-08-01,1075200000000.0
1998-09-01,1080400000000.0
1998-10-01,1085900000000.0
1998-11-01,1094400000000.0
1998-12-01,1095800000000.0
1999-01-01,1097400000000.0
1999-02-01,1097000000000.0
1999-03-01,1097700000000.0
1999-04-01,1101800000000.0
1999-05-01,1102800000000.0
1999-06-01,1099800000000.0
1999-07-01,1098800000000.0
1999-08-01,1099000000000.0
1999-09-01,1097100000000.0
1999-10-01,1102100000000.0
1999-11-01,1111300000000.0
1999-12-01,1122400000000.0
2000-01-01,1121900000000.0
2000-02-01,1109000000000.0
2000-03-01,1108100000000.0
2000-04-01,1113800000000.0
2000-05-01,1105800000000.0
2000-06-01,1103200000000.0
2000-07-01,1103600000000.0
2000-08-01,1100800000000.0
2000-09-01,1099600000000.0
2000-10-01,1098400000000.0
2000-11-01,1092400000000.0
2000-12-01,1087200000000.0
2001-01-01,1097200000000.0
2001-02-01,1101300000000.0
2001-03-01,1109700000000.0
2001-04-01,1115000000000.0
2001-05-01,1119600000000.0
2001-06-01,1126700000000.0
2001-07-01,1140000000000.0
2001-08-01,1150100000000.0
2001-09-01,1205000000000.0
2001-10-01,1165800000000.0
2001-11-01,1170800000000.0
2001-12-01,1182100000000.0
2002-01-01,1190300000000.0
2002-02-01,1190400000000.0
2002-03-01,1192600000000.0
2002-04-01,1185500000000.0
2002-05-01,1189100000000.0
2002-06-01,1193000000000.0
2002-07-01,1200300000000.0
2002-08-01,1186400000000.0
2002-09-01,1195700000000.0
2002-10-01,1203900000000.0
2002-11-01,1208500000000.0
2002-12-01,1219700000000.0
2003-01-01,1226000000000.0
2003-02-01,1238200000000.0
2003-03-01,1239000000000.0
2003-04-01,1248100000000.0
2003-05-01,1268000000000.0
2003-06-01,1281000000000.0
2003-07-01,1288800000000.0
2003-08-01,1294300000000.0
2003-09-01,1297700000000.0
2003-10-01,1297100000000.0
2003-11-01,1297600000000.0
2003-12-01,1306500000000.0
2004-01-01,1305000000000.0
2004-02-01,1321100000000.0
2004-03-01,1329600000000.0
2004-04-01,1331000000000.0
2004-05-01,1331500000000.0
2004-06-01,1343200000000.0
2004-07-01,1341000000000.0
2004-08-01,1353200000000.0
2004-09-01,1362600000000.0
2004-10-01,1360600000000.0
2004-11-01,1374900000000.0
2004-12-01,1376400000000.0
2005-01-01,1366000000000.0
2005-02-01,1371900000000.0
2005-03-01,1372000000000.0
2005-04-01,1356600000000.0
2005-05-01,1364400000000.0
2005-06-01,1379700000000.0
2005-07-01,1367200000000.0
2005-08-01,1376600000000.0
2005-09-01,1378200000000.0
2005-10-01,1375200000000.0
2005-11-01,1376300000000.0
2005-12-01,1374900000000.0
2006-01-01,1380000000000.0
2006-02-01,1379200000000.0
2006-03-01,1382900000000.0
2006-04-01,1379600000000.0
2006-05-01,1385400000000.0
2006-06-01,1373400000000.0
2006-07-01,1370400000000.0
2006-08-01,1370200000000.0
2006-09-01,1362600000000.0
2006-10-01,1369300000000.0
2006-11-01,1370900000000.0
2006-12-01,1366300000000.0
2007-01-01,1373200000000.0
2007-02-01,1363900000000.0
2007-03-01,1366400000000.0
2007-04-01,1377500000000.0
2007-05-01,1379200000000.0
2007-06-01,1364900000000.0
2007-07-01,1370700000000.0
2007-08-01,1373000000000.0
2007-09-01,1373400000000.0
2007-10-01,1378800000000.0
2007-11-01,1371200000000.0
2007-12-01,1373600000000.0
2008-01-01,1380100000000.0
2008-02-01,1381000000000.0
2008-03-01,1386700000000.0
2008-04-01,1389900000000.0
2008-05-01,1389600000000.0
2008-06-01,1399000000000.0
2008-07-01,1419900000000.0
2008-08-01,1402400000000.0
2008-09-01,1461000000000.0
2008-10-01,1472900000000.0
2008-11-01,1512200000000.0
2008-12-01,1602800000000.0
2009-01-01,1587300000000.0
2009-02-01,1569000000000.0
2009-03-01,1577500000000.0
2009-04-01,1609800000000.0
2009-05-01,1610800000000.0
2009-06-01,1651800000000.0
2009-07-01,1661500000000.0
2009-08-01,1655300000000.0
2009-09-01,1665800000000.0
2009-10-01,1679900000000.0
2009-11-01,1679900000000.0
2009-12-01,1693600000000.0
2010-01-01,1681000000000.0
2010-02-01,1703300000000.0
2010-03-01,1712000000000.0
2010-04-01,1698900000000.0
2010-05-01,1704000000000.0
2010-06-01,1722800000000.0
2010-07-01,1725900000000.0
2010-08-01,1746300000000.0
