DATE,BOGNONBR,3m growth rate,12m growth rate
1967-01-01,11.924,17.0015548483885,0.41263157894735336
1967-02-01,11.916,11.42677487428212,1.7504909913756306
1967-03-01,12.237,20.072014073915437,5.455015511892469
1967-04-01,12.342,14.776849290932129,6.20428534549522
1967-05-01,12.329,14.601270445334148,6.5140388768898605
1967-06-01,12.351,3.778800502943125,6.944324183912043
1967-07-01,12.607,8.869152722089924,8.410009459110835
1967-08-01,12.598,9.017195562555004,10.218722659667545
1967-09-01,12.758,13.84708216821384,11.326352530540994
1967-10-01,12.959,11.644915186082038,13.030963802878315
1967-11-01,12.999,13.353088822685578,12.079668908432485
1967-12-01,12.952,6.222605950182314,10.795551753635579
1968-01-01,12.993,1.0536010746625024,8.965112378396523
1968-02-01,12.815,-5.542887118151773,7.544478012755951
1968-03-01,12.527,-12.493368423712958,2.369861894255121
1968-04-01,12.432,-16.18413101803492,0.7292173067574126
1968-05-01,12.389,-12.64845924786252,0.4866574742476981
1968-06-01,12.557,0.961377484848014,1.6678811432272678
1968-07-01,12.928,16.939536433727564,2.5462044895693037
1968-08-01,12.875,16.639040685730322,2.1987617082076527
1968-09-01,12.931,12.456579508197851,1.3560119140931137
1968-10-01,13.086,4.978965830229676,0.9800138899606514
1968-11-01,13.104,7.306637632548729,0.8077544426494221
1968-12-01,13.021,2.813207636188242,0.5327362569487404
1969-01-01,12.893,-5.770200550057103,-0.76964519356576
1969-02-01,12.879,-6.693255907798024,0.49941474834178656
1969-03-01,12.751,-8.039859235583224,1.7881376227348866
1969-04-01,12.468,-12.547698423093612,0.28957528957529455
1969-05-01,12.47,-12.110449948435043,0.6538057954637244
1969-06-01,12.41,-10.275686733243228,-1.1706617822728416
1969-07-01,12.239,-7.146866429556376,-5.3295173267326685
1969-08-01,12.565,3.0823136996912748,-2.4077669902912713
1969-09-01,12.743,11.17307198049411,-1.4538705436547783
1969-10-01,12.754,17.923921084261373,-2.5370625095522015
1969-11-01,12.969,13.494806642435586,-1.0302197802197766
1969-12-01,13.049,9.956825246724677,0.21503724752323095
1970-01-01,13.128,12.255756658135608,1.8226944853796612
1970-02-01,13.019,1.5510801126990437,1.0870409193260322
1970-03-01,13.173,3.8555817485629302,3.3095443494628007
1970-04-01,13.364,7.386971746164339,7.186397176772541
1970-05-01,13.04,0.6467736389927481,4.570970328789081
1970-06-01,13.197,0.7307574100011482,6.341659951651879
1970-07-01,12.799,-15.86856658573279,4.575537217092895
1970-08-01,13.445,13.014159805743454,7.003581376840429
1970-09-01,13.847,21.20538126667544,8.66358000470846
1970-10-01,14.017,43.852077096735,9.90277559981183
1970-11-01,14.055,19.42085426446152,8.373814480684704
1970-12-01,14.225,11.374644664909672,9.012184841750326
1971-01-01,14.24,6.517180906040587,8.470444850700787
1971-02-01,14.488,12.90426541129277,11.283508718027502
1971-03-01,14.479,7.335942022204844,9.914218477188186
1971-04-01,14.606,10.684097441221583,9.293624663274457
1971-05-01,14.698,5.925182993829892,12.714723926380378
1971-06-01,14.564,2.368987679543056,10.358414791240445
1971-07-01,14.302,-8.069015808186798,11.743104930072668
1971-08-01,14.38,-8.377408374887786,6.954258088508736
1971-09-01,14.928,10.378331414040057,7.806745143352356
1971-10-01,14.854,16.35541071767235,5.971320539345082
1971-11-01,14.864,14.158234179224015,5.755958733546795
1971-12-01,15.104,4.800028850791716,6.179261862917396
1972-01-01,15.347,13.951565009141431,7.773876404494384
1972-02-01,15.331,13.17204093043587,5.818608503589173
1972-03-01,15.382,7.568056063195461,6.236618551004902
1972-04-01,15.534,4.963724047945672,6.353553334246209
1972-05-01,15.628,7.9771040860660225,6.327391481834255
1972-06-01,15.809,11.574864926216556,8.548475693490797
1972-07-01,15.597,1.632143513876816,9.054677667459089
1972-08-01,15.623,-0.1279140254024646,8.64394993045896
1972-09-01,15.459,-8.565942848895503,3.5570739549839248
1972-10-01,15.637,1.02979134449106,5.271307391948299
1972-11-01,15.833,5.4860708504877564,6.519106566200206
1972-12-01,15.595,3.5656958827984697,3.2507944915254328
1973-01-01,15.548,-2.257288394749657,1.3097022219326293
1973-02-01,15.12,-16.832371555755422,-1.376296392929366
1973-03-01,15.099,-12.12785576213683,-1.83981276817059
1973-04-01,15.02,-12.907330418273531,-3.3088708639114284
1973-05-01,14.829,-7.47900470232411,-5.112618377271561
1973-06-01,14.895,-5.295789108032656,-5.781516857486235
1973-07-01,15.035,0.4000661785289683,-3.6032570366095973
1973-08-01,14.631,-5.234866113809533,-6.349612750432055
1973-09-01,14.883,-0.3218665666738562,-3.7259848631864934
1973-10-01,15.448,11.448778614897016,-1.2086717401036062
1973-11-01,15.585,28.745241196632044,-1.5663487652371577
1973-12-01,15.723,24.56032441280933,0.8207758897082362
1974-01-01,16.171,20.076622982561236,4.006946231026487
1974-02-01,15.933,9.235298077195765,5.37698412698413
1974-03-01,15.817,2.4129322321524205,4.755281806742162
1974-04-01,15.561,-14.256244284148444,3.601864181091874
1974-05-01,14.833,-24.88515726013979,0.026974172230076476
1974-06-01,14.361,-32.0417369285104,-3.58509566968781
1974-07-01,14.185,-30.94941700655508,-5.653475224476223
1974-08-01,14.055,-19.386567653031083,-3.936846421980733
1974-09-01,14.102,-7.021162372988044,-5.2475979305247495
1974-10-01,15.536,43.89294119423437,0.5696530295183688
1974-11-01,16.201,76.54031139479329,3.952518447224884
1974-12-01,16.823,102.53073478562102,6.996120333269729
1975-01-01,16.874,39.16029119012947,4.347288355698464
1975-02-01,17.123,24.78205644371101,7.468775497395352
1975-03-01,17.333,12.688907465878142,9.584624138585053
1975-04-01,17.387,12.726607570267024,11.734464366043307
1975-05-01,17.288,3.910536895476735,16.550933728847838
1975-06-01,17.488,3.6252593149099783,21.77424970405959
1975-07-01,17.331,-1.2821080920180197,22.178357419809647
1975-08-01,17.449,3.777488232110749,24.147990039131994
1975-09-01,17.438,-1.1387460127533222,23.656218976031763
1975-10-01,17.397,1.5320055475489758,11.97863027806385
1975-11-01,17.789,8.024924110115016,9.80186408246404
1975-12-01,17.692,5.954895985870179,5.165547167568207
1976-01-01,17.537,3.2580107189335017,3.929121725731899
1976-02-01,17.725,-1.4313439917052584,3.51573906441629
1976-03-01,17.821,2.94862678523935,2.8154387584376828
1976-04-01,17.675,3.1849794377005525,1.6564099614654548
1976-05-01,17.826,2.2988221442068912,3.1119851920407227
1976-06-01,17.82,-0.0224435403802014,1.8984446477584571
1976-07-01,17.714,0.8855280476431471,2.2099128728867212
1976-08-01,17.953,2.880369362439761,2.8884176743652734
1976-09-01,17.948,2.9042814938624595,2.924647321940599
1976-10-01,17.983,6.214061424563111,3.3683968500316297
1976-11-01,18.268,7.205209091150944,2.6926752487492323
1976-12-01,18.335,8.907907482032783,3.634411033235363
1977-01-01,18.353,8.487494986882682,4.653019330558261
1977-02-01,18.227,-0.8947269139818359,2.8321579689703835
1977-03-01,18.301,-0.7396900712614451,2.6934515459289488
1977-04-01,18.406,1.1601378151818276,4.135785007072124
