DATE,HOUST,3m growth rate,12m growth rate
1974-12-01,975.0,-48.33135155320343,-36.107470511140235
1975-01-01,1032.0,-13.466617847272811,-28.87663680220538
1975-02-01,904.0,-39.73234704053285,-48.401826484018265
1975-03-01,993.0,7.591640929099142,-36.141479099678456
1975-04-01,1005.0,-10.061537740303104,-37.461107654013695
1975-05-01,1121.0,136.45512336381458,-21.388499298737727
1975-06-01,1087.0,43.58900377401896,-28.155981493721082
1975-07-01,1226.0,121.46119228406675,-6.838905775075988
1975-08-01,1260.0,59.60986493601283,10.332749562171628
1975-09-01,1264.0,82.8395397679671,9.913043478260875
1975-10-01,1344.0,44.422611615649046,25.607476635514015
1975-11-01,1360.0,35.72925115475114,32.55360623781676
1975-12-01,1321.0,19.295201390764817,35.487179487179475
1976-01-01,1367.0,7.022966171931566,32.461240310077514
1976-02-01,1538.0,63.55721555104778,70.13274336283186
1976-03-01,1421.0,33.895210159982355,43.10171198388721
1976-04-01,1395.0,8.448305898568108,38.80597014925373
1976-05-01,1459.0,-19.016633655174772,30.15165031222122
1976-06-01,1495.0,22.514772787656145,37.5344986200552
1976-07-01,1401.0,1.731561517493985,14.274061990212061
1976-08-01,1550.0,27.381284838466517,23.015873015873023
1976-09-01,1720.0,75.20601706991945,36.0759493670886
1976-10-01,1629.0,82.78131441302756,21.20535714285714
1976-11-01,1641.0,25.634099584715408,20.661764705882348
1976-12-01,1804.0,21.013088509685083,36.563209689629076
1977-01-01,1527.0,-22.790309601155023,11.704462326261877
1977-02-01,1943.0,96.54268204307814,26.33289986996099
1977-03-01,2063.0,71.02152671176292,45.17945109078114
1977-04-01,1892.0,135.68306641625983,35.62724014336918
1977-05-01,1971.0,5.890084462858503,35.09252912954077
1977-06-01,1893.0,-29.106642664140335,26.62207357859532
1977-07-01,2058.0,39.989980629591024,46.895074946466806
1977-08-01,2020.0,10.321200891935778,30.32258064516129
1977-09-01,1949.0,12.368582041271091,13.3139534883721
1977-10-01,2042.0,-3.0737368890557337,25.352977286678936
1977-11-01,2042.0,4.428123285917374,24.43631931748933
1977-12-01,2142.0,45.8916746670359,18.736141906873605
1978-01-01,1718.0,-49.89631284622783,12.508185985592668
1978-02-01,1738.0,-47.522137479718666,-10.5506948018528
1978-03-01,2032.0,-19.012694776749896,-1.5026660203587006
1978-04-01,2197.0,167.44075504780608,16.12050739957718
1978-05-01,2075.0,103.17642562437892,5.276509386098427
1978-06-01,2070.0,7.69277487229223,9.350237717908083
1978-07-01,2092.0,-17.78965076913427,1.6520894071914372
1978-08-01,1996.0,-14.381080337976226,-1.1881188118811892
1978-09-01,1970.0,-17.967957930926026,1.0774756285274467
1978-10-01,1981.0,-19.5934957099256,-2.9872673849167475
1978-11-01,2094.0,21.133582496428076,2.5465230166503483
1978-12-01,2044.0,15.893388558179966,-4.575163398692805
1979-01-01,1630.0,-54.16338735958814,-5.122235157159483
1979-02-01,1520.0,-72.23692013507265,-12.543153049482159
1979-03-01,1847.0,-33.32791820603529,-9.104330708661411
1979-04-01,1748.0,32.25597319402078,-20.436959490213923
1979-05-01,1876.0,132.03686244446402,-9.590361445783135
1979-06-01,1913.0,15.07799811666517,-7.5845410628019305
1979-07-01,1760.0,2.774401899649037,-15.869980879541112
1979-08-01,1778.0,-19.314463634554137,-10.921843687374755
1979-09-01,1832.0,-15.891091472488217,-7.005076142131983
1979-10-01,1681.0,-16.781442694493677,-15.143866733972743
1979-11-01,1524.0,-46.02249062890464,-27.22063037249284
1979-12-01,1498.0,-55.29610378978678,-26.71232876712328
1980-01-01,1341.0,-59.50100392715905,-17.730061349693248
1980-02-01,1350.0,-38.42630643984706,-11.184210526315786
1980-03-01,1047.0,-76.13620699665216,-43.313481321061175
1980-04-01,1051.0,-62.269222663706046,-39.8741418764302
1980-05-01,927.0,-77.76772720987654,-50.5863539445629
1980-06-01,1196.0,70.26994349006956,-37.4803972817564
1980-07-01,1269.0,112.53752762014972,-27.89772727272727
1980-08-01,1436.0,475.8360139494818,-19.23509561304837
1980-09-01,1471.0,128.8368559776718,-19.70524017467249
1980-10-01,1523.0,107.4689576331184,-9.399167162403332
1980-11-01,1510.0,22.26158721293949,-0.9186351706036766
1980-12-01,1482.0,3.024881498816323,-1.0680907877169576
1981-01-01,1547.0,6.4539158736183655,15.361670395227446
1981-02-01,1246.0,-53.63776327677135,-7.7037037037037015
1981-03-01,1306.0,-39.691310253894166,24.737344794651396
1981-04-01,1360.0,-40.26974364593514,29.400570884871556
1981-05-01,1140.0,-29.927560696802736,22.977346278317157
1981-06-01,1045.0,-59.00862805313663,-12.625418060200666
1981-07-01,1041.0,-65.67209619247028,-17.966903073286055
1981-08-01,940.0,-53.77339392067129,-34.540389972144844
1981-09-01,911.0,-42.242505409977205,-38.0693405846363
1981-10-01,873.0,-50.5400062916403,-42.67892317793828
1981-11-01,837.0,-37.13767819031101,-44.56953642384106
1981-12-01,910.0,-0.4383555048702581,-38.59649122807017
1982-01-01,843.0,-13.053255882928616,-45.50743374272786
1982-02-01,866.0,14.596073183597367,-30.4975922953451
1982-03-01,931.0,9.555240012604571,-28.713629402756514
1982-04-01,917.0,40.01257542036758,-32.5735294117647
1982-05-01,1025.0,96.25642952337076,-10.087719298245613
1982-06-01,902.0,-11.889548589138176,-13.684210526315788
