DATE,PPIACO,3m growth rate,12m growth rate
1913-01-01,12.1,,
1913-02-01,12.0,,
1913-03-01,12.0,,
1913-04-01,12.0,-3.265029639709671,
1913-05-01,11.9,-3.2918976658950494,
1913-06-01,11.9,-3.2918976658950494,
1913-07-01,12.0,0.0,
1913-08-01,12.0,3.4039522919416587,
1913-09-01,12.2,10.471811898596409,
1913-10-01,12.2,6.8351929012345325,
1913-11-01,12.1,3.3752319637345485,
1913-12-01,11.9,-9.479170947434657,
1914-01-01,11.8,-12.483748730033785,-2.4793388429751984
1914-02-01,11.8,-9.554586637350438,-1.6666666666666607
1914-03-01,11.7,-6.555100471007114,-2.500000000000002
1914-04-01,11.7,-3.346982379249108,-2.500000000000002
1914-05-01,11.6,-6.609236119976969,-2.5210084033613467
1914-06-01,11.6,-3.3752218203143447,-2.5210084033613467
1914-07-01,11.6,-3.3752218203143447,-3.3333333333333326
1914-08-01,12.0,14.523082056495262,0.0
1914-09-01,12.1,18.38850172792004,-0.8196721311475419
1914-10-01,11.7,3.493122451507946,-4.098360655737709
1914-11-01,11.7,-9.631210937500011,-3.3057851239669422
1914-12-01,11.6,-15.532337566177157,-2.5210084033613467
1915-01-01,11.8,3.462884513737708,0.0
1915-02-01,11.8,3.462884513737708,0.0
1915-03-01,11.8,7.076969761664809,0.8547008547008739
1915-04-01,11.8,0.0,0.8547008547008739
1915-05-01,11.9,3.433165542398209,2.586206896551735
1915-06-01,11.8,0.0,1.7241379310344973
1915-07-01,11.9,3.433165542398209,2.586206896551735
1915-08-01,11.8,-3.319211516339915,-1.6666666666666607
1915-09-01,11.8,0.0,-2.4793388429751984
1915-10-01,12.1,6.894075541464106,3.418803418803429
1915-11-01,12.3,18.057183098696107,5.128205128205132
1915-12-01,12.8,38.45602190113837,10.344827586206895
1916-01-01,13.3,45.97049561944677,12.71186440677965
1916-02-01,13.5,45.11577589187472,14.406779661016934
1916-03-01,13.9,39.06547464430332,17.796610169491522
1916-04-01,14.1,26.31935130632057,19.491525423728806
1916-05-01,14.2,22.41039618697087,19.327731092436974
1916-06-01,14.3,12.0172608894493,21.18644067796609
1916-07-01,14.4,8.786127617768514,21.00840336134453
1916-08-01,14.7,14.846023222548688,24.576271186440657
1916-09-01,15.0,21.065635579484976,27.118644067796605
1916-10-01,15.7,41.30210812508628,29.75206611570247
1916-11-01,16.8,70.59558517284475,36.58536585365852
1916-12-01,17.1,68.89601600000009,33.59375
1917-01-01,17.6,57.92542765558888,32.33082706766916
1917-02-01,18.0,31.7810287380258,33.33333333333333
1917-03-01,18.5,36.99429194029526,33.09352517985611
1917-04-01,19.7,56.96912356050237,39.71631205673758
1917-05-01,20.8,78.30491693339437,46.47887323943662
1917-06-01,21.0,66.03141352317114,46.85314685314685
1917-07-01,21.2,34.1153659827379,47.22222222222221
1917-08-01,21.5,14.156461839711575,46.25850340136055
1917-09-01,21.3,5.837905039566826,42.000000000000014
1917-10-01,21.1,-1.8734844376882556,34.39490445859874
1917-11-01,21.2,-5.465658352153313,26.190476190476186
1917-12-01,21.2,-1.8647507269308417,23.976608187134495
1918-01-01,21.6,9.820946758979863,22.72727272727273
1918-02-01,21.1,-1.8734844376882556,17.22222222222223
1918-03-01,21.8,11.810484842432343,17.83783783783783
1918-04-01,22.1,9.585751480482418,12.182741116751284
1918-05-01,22.1,20.348109788808657,6.25
1918-06-01,22.2,7.543935061607909,5.714285714285716
1918-07-01,22.7,11.310038773460109,7.0754716981132
1918-08-01,23.2,21.445896411569223,7.906976744186034
1918-09-01,23.7,29.89172555079311,11.267605633802802
1918-10-01,23.5,14.859790633723511,11.374407582938373
1918-11-01,23.5,5.273608468613,10.8490566037736
1918-12-01,23.5,-3.3330391074122945,10.8490566037736
1919-01-01,23.2,-5.009430706638407,7.407407407407396
1919-02-01,22.4,-17.449325855522137,6.16113744075828
1919-03-01,22.6,-14.461366601628246,3.669724770642202
1919-04-01,22.9,-5.07294889331249,3.6199095022624306
