DATE,BOGZ1FL145020011Q
2014-10-01,2287465.0
2015-01-01,2277324.0
2015-04-01,2312192.0
2015-07-01,2317900.0
2015-10-01,2319661.0
2016-01-01,2325260.0
2016-04-01,2373768.0
2016-07-01,2377833.0
2016-10-01,2416300.0
2017-01-01,2450225.0
2017-04-01,2458294.0
2017-07-01,2490738.0
2017-10-01,2529742.0
2018-01-01,2578968.0
2018-04-01,2619731.0
2018-07-01,2654406.0
2018-10-01,2664946.0
2019-01-01,2709250.0
2019-04-01,2727079.0
2019-07-01,2732822.0
2019-10-01,2741649.0
2020-01-01,2700376.0
2020-04-01,2640698.0
2020-07-01,2703699.0
2020-10-01,2772271.0
2021-01-01,2893194.0
2021-04-01,3016677.0
2021-07-01,3080923.0
2021-10-01,3227030.0
2022-01-01,3444119.0
2022-04-01,3613377.0
2022-07-01,3579623.0
2022-10-01,3544379.0
