DATE,USALOLITONOSTSAM,3m growth rate,12m growth rate
1964-03-01,100.426862140906,0.8974849886252523,0.22009530048532344
1964-04-01,100.510793272543,0.982583859660191,0.23149642450348562
1964-05-01,100.58769046168,0.9830231509290188,0.2805674785522072
1964-06-01,100.656910615296,0.9194358466835472,0.3668874605605277
1964-07-01,100.714597677731,0.8135449503235748,0.46725029699026255
1964-08-01,100.753096149003,0.6593813693201112,0.5500377638778309
1964-09-01,100.791176461589,0.5346269002347581,0.6122488818103955
1964-10-01,100.833956461685,0.4748909728924388,0.6626746805846961
1964-11-01,100.89614655891,0.5691352853498977,0.7204628156068038
1964-12-01,100.970297152566,0.712755813819621,0.7659552569948991
1965-01-01,101.035763231969,0.8029573500835996,0.7683263779300287
1965-02-01,101.074477049925,0.708862901211349,0.7299824709681824
1965-03-01,101.075294341382,0.4166020398926662,0.6456760538492201
1965-04-01,101.035152911619,-0.0024162328285504,0.5216948568440349
1965-05-01,100.970541538296,-0.4106884674969224,0.38061424301401026
1965-06-01,100.910761285919,-0.6495424837688613,0.2521939815868235
1965-07-01,100.889332146139,-0.5760584404123859,0.17349467945759756
1965-08-01,100.923880478704,-0.1847220939842908,0.16950777318887056
1965-09-01,101.020300358899,0.4349092540917088,0.22732535262877107
1965-10-01,101.167900789777,1.1090350569890717,0.33118241097569445
1965-11-01,101.342676579955,1.6702096166935076,0.44256399899700316
1965-12-01,101.509811864242,1.952403751466547,0.5343301217196395
1966-01-01,101.627694334556,1.8303734387038693,0.5858629495656631
1966-02-01,101.654908045245,1.2380860465062815,0.5742606959354246
1966-03-01,101.568732653645,0.2323799385565816,0.4881888452349159
1966-04-01,101.371737647254,-1.003629349002788,0.33313626587909706
1966-05-01,101.086251129921,-2.21889174394051,0.11459737648440438
1966-06-01,100.767115035494,-3.119769014442564,-0.14234978370442075
1966-07-01,100.440864637542,-3.622821747364391,-0.4445143000326168
1966-08-01,100.125121488515,-3.749307781788647,-0.7914469661692625
1966-09-01,99.8241583799074,-3.690898806874932,-1.1840610003553853
1966-10-01,99.5333816899768,-3.565314589071289,-1.615649911721162
1966-11-01,99.2646446730715,-3.3935451656990967,-2.0505003193240334
1966-12-01,99.0361008395634,-3.1205857981127294,-2.4369181453975153
1967-01-01,98.8698008508103,-2.6402166410477435,-2.713722378337924
1967-02-01,98.7814635775864,-1.9328719877704348,-2.8266657487700186
1967-03-01,98.7980590950392,-0.9579734514922666,-2.727880407894767
1967-04-01,98.9228420721807,0.2147629272083229,-2.41575771700272
1967-05-01,99.1439405466428,1.4758923227603526,-1.9214389311775437
1967-06-01,99.4194725723989,2.539729598893148,-1.337383195520092
1967-07-01,99.7142936584969,3.238890342774225,-0.7233818442991979
1967-08-01,99.9981105278944,3.4909732534539994,-0.12685224120819738
1967-09-01,100.24204255819,3.350792249403378,0.41862028697725595
1967-10-01,100.435410271406,2.9242623305039794,0.9062573441328547
1967-11-01,100.57436707526,2.32507145055878,1.3194248632048877
1967-12-01,100.660393738884,1.6798436698307162,1.6401018270619572
1968-01-01,100.690782923775,1.02094785402429,1.841798058956834
1968-02-01,100.692821181166,0.4719434678135847,1.9349354973652089
1968-03-01,100.685316421923,0.0990734870664145,1.910217006457926
1968-04-01,100.678841873287,-0.0474280809118043,1.7751206539587727
1968-05-01,100.679973949099,-0.0510255781475676,1.5492962998919335
1968-06-01,100.701270681251,0.0633977321968126,1.2892827488283798
1968-07-01,100.755082082954,0.3032488361473184,1.0437705430894617
1968-08-01,100.851754310168,0.6842294155006146,0.8536599119395305
1968-09-01,100.991279090762,1.1569411280004438,0.7474274400754322
1968-10-01,101.130324826494,1.4980653025157276,0.6919019429602935
1968-11-01,101.217598161498,1.4589308539214365,0.6395576775110934
1968-12-01,101.23477082595,0.9679003885882276,0.5706088221311134
1969-01-01,101.185876629809,0.2199047331763681,0.491697146111969
1969-02-01,101.078388249305,-0.5490072233693355,0.3829141577484263
1969-03-01,100.92109628235,-1.233646012361378,0.2341750205550941
1969-04-01,100.715571013249,-1.8462530697071269,0.03648148834314302
1969-05-01,100.466850474866,-2.3981795033698017,-0.21168407765057573
1969-06-01,100.215287745917,-2.7682565454022368,-0.48259861275463667
1969-07-01,99.9927638568208,-2.8399312525083986,-0.7566052355607922
1969-08-01,99.8076213241158,-2.598942953767791,-1.0353146489063492
1969-09-01,99.6394698883433,-2.278590600623942,-1.3385405300232134
1969-10-01,99.4572304912134,-2.1251395983148624,-1.6543943057150123
1969-11-01,99.243319957817,-2.242448521940499,-1.9505286032681202
1969-12-01,98.9939069845718,-2.5665173384110678,-2.2135317965314982
1970-01-01,98.7163417881902,-2.94659749250632,-2.4405924264051637
1970-02-01,98.4411708595272,-3.194073555652066,-2.609081362944987
1970-03-01,98.1951864364512,-3.1885027698480783,-2.701030752056488
1970-04-01,98.0018385558763,-2.8638958161802286,-2.6944517417428093
1970-05-01,97.887285517412,-2.2317009942719013,-2.5675782064048525
1970-06-01,97.8443612461951,-1.4214528017515882,-2.3658331508592423
1970-07-01,97.8471346023379,-0.6299392820380834,-2.145784526523553
1970-08-01,97.8878032778079,0.0021157579398023,-1.92351848570107
1970-09-01,97.9823980836565,0.5655071784653742,-1.6630676643941578
1970-10-01,98.1594692765238,1.282953662736208,-1.3048435073850673
1970-11-01,98.4526684327297,2.328271082119193,-0.7966798424552501
