DATE,PCE,3m growth rate,12m growth rate
1975-08-01,1047.0,11.496305692578112,9.65647255969837
1975-09-01,1054.8,11.362005759835082,10.438697518584439
1975-10-01,1060.9,8.367372938833405,10.602585487906602
1975-11-01,1075.8,11.46523425341488,12.50784354737502
1975-12-01,1092.1,14.912995009231356,13.547515075899351
1976-01-01,1107.1,18.590419526169065,13.478884788847868
1976-02-01,1107.7,12.39900405762766,11.956741459470388
1976-03-01,1114.9,8.616057128716538,12.547950736927117
1976-04-01,1125.4,6.777620909490345,13.105527638190972
1976-05-01,1122.7,5.5276501973003045,10.187457061536964
1976-06-01,1140.5,9.505894383246316,11.073237241916644
1976-07-01,1149.6,8.882824243093058,10.559723023658396
1976-08-01,1158.0,13.182516805592371,10.601719197707737
1976-09-01,1168.8,10.301051668837149,10.80773606370875
1976-10-01,1176.8,9.80537978304401,10.924686586860188
1976-11-01,1189.0,11.1458319319504,10.522401933444891
1976-12-01,1211.5,15.433765346645531,10.933064737661402
1977-01-01,1215.0,13.630383616420438,9.746183723240897
1977-02-01,1231.3,15.00801279569568,11.15825584544552
1977-03-01,1238.3,9.14650101816461,11.068257242802026
1977-04-01,1247.3,11.065346957224389,10.831704282921617
1977-05-01,1257.1,8.648513218962517,11.971140999376484
1977-06-01,1263.6,8.426384714727586,10.793511617711516
1977-07-01,1280.5,11.07968559752006,11.386569241475296
1977-08-01,1285.7,9.41560600315925,11.027633851468055
1977-09-01,1294.5,10.146258685991397,10.754620123203296
1977-10-01,1311.4,10.007523042341091,11.437797416723328
1977-11-01,1327.0,13.481512586754762,11.606391925988223
1977-12-01,1336.0,13.45342560438132,10.276516714816353
1978-01-01,1329.5,5.636170616596048,9.423868312757211
1978-02-01,1355.1,8.743095029780346,10.054414033947868
1978-03-01,1377.5,13.016173152018794,11.24121779859486
1978-04-01,1396.4,21.698715364196453,11.953820251743785
1978-05-01,1412.0,17.883604238065143,12.322010977646979
1978-06-01,1425.8,14.780473346087142,12.836340614118402
1978-07-01,1426.8,8.99662288072356,11.425224521671229
1978-08-01,1447.0,10.28979706473625,12.54569495216613
1978-09-01,1452.9,7.822265703647946,12.236384704519132
1978-10-01,1466.9,11.724811766381247,11.857556809516545
1978-11-01,1480.6,9.61673335953841,11.574981160512433
1978-12-01,1496.5,12.55479197421856,12.01347305389222
1979-01-01,1502.4,10.037386115889202,13.004889056036117
1979-02-01,1517.8,10.435121616159826,12.006493985683719
1979-03-01,1531.2,9.602584957215289,11.157894736842099
1979-04-01,1538.4,9.934697374036872,10.169006015468351
1979-05-01,1558.8,11.250864518287894,10.396600566572234
1979-06-01,1575.7,12.141525155841215,10.513395988217145
1979-07-01,1586.1,12.99134428468216,11.164844407064756
1979-08-01,1615.6,15.39149219624152,11.65169315825847
1979-09-01,1633.9,15.61328759929208,12.457842934820018
1979-10-01,1641.6,14.748525393391908,11.909468948121882
1979-11-01,1657.3,10.730979969158906,11.934350938808592
1979-12-01,1666.3,8.171010353308649,11.346475108586706
1980-01-01,1697.3,14.278642063358337,12.972577209797652
1980-02-01,1701.4,11.07624569259036,12.096455395967865
1980-03-01,1708.2,10.44399124075066,11.559561128526653
1980-04-01,1695.2,-0.4939859417431691,10.192407696307848
