DATE,PERMIT,3m growth rate,12m growth rate
1967-10-01,1280.0,39.87304427716285,73.20703653585927
1967-11-01,1297.0,24.03731961851838,76.22282608695652
1967-12-01,1315.0,11.743130338171335,76.98519515477793
1968-01-01,1179.0,-28.01941999491303,18.492462311557787
1968-02-01,1342.0,14.617296114598988,47.960308710033075
1968-03-01,1370.0,17.809213688177316,43.455497382198956
1968-04-01,1286.0,41.54960245327239,24.251207729468604
1968-05-01,1297.0,-12.753132912840693,20.53903345724908
1968-06-01,1300.0,-18.924219057148328,11.206159110350722
1968-07-01,1344.0,19.298010334334403,14.188615123194559
1968-08-01,1357.0,19.8283243530174,10.414971521562254
1968-09-01,1464.0,60.83882719848739,14.464425332290842
1968-10-01,1421.0,24.962365259358958,11.015624999999996
1968-11-01,1436.0,25.400240377292427,10.71703932151118
1968-12-01,1389.0,-18.970216961763896,5.627376425855513
1969-01-01,1459.0,11.13346514223994,23.74893977947412
1969-02-01,1495.0,17.475421250326196,11.400894187779432
1969-03-01,1438.0,14.875274255065827,4.963503649635026
1969-04-01,1441.0,-4.844311558121617,12.052877138413676
1969-05-01,1328.0,-37.73736025570531,2.390131071703938
1969-06-01,1349.0,-22.551634887785145,3.769230769230769
1969-07-01,1278.0,-38.1317983988321,-4.91071428571429
1969-08-01,1317.0,-3.272313693835971,-2.9476787030213725
1969-09-01,1263.0,-23.16384861492305,-13.729508196721307
1969-10-01,1216.0,-18.03831382187656,-14.426460239268124
1969-11-01,1191.0,-33.118817038855966,-17.06128133704735
1969-12-01,1155.0,-30.06178647037715,-16.846652267818573
1970-01-01,1062.0,-41.82133288712827,-27.210418094585332
1970-02-01,1118.0,-22.35380678859935,-25.217391304347824
1970-03-01,1132.0,-7.730584286246945,-21.27955493741307
1970-04-01,1224.0,76.45241401985136,-15.058986814712005
1970-05-01,1328.0,99.07883285373624,0.0
1970-06-01,1322.0,86.0116363135896,-2.0014825796886626
1970-07-01,1324.0,36.907193927031216,3.5993740219092407
1970-08-01,1394.0,21.41121211111037,5.846621108580097
1970-09-01,1426.0,35.37930538840133,12.905779889152802
