DATE,RETAIL,3m growth rate,12m growth rate
1947-01-01,9583,,
1947-02-01,9852,,
1947-03-01,9769,,
1947-04-01,9947,16.081368434182576,
1947-05-01,10061,8.759445154695777,
1947-06-01,10146,16.353377239770083,
1947-07-01,10176,9.531723507802958,
1947-08-01,10141,3.2187356192355354,
1947-09-01,10462,13.052307428288843,
1947-10-01,10609,18.137942920101068,
1947-11-01,10792,28.258044995144655,
1947-12-01,10842,15.33968181887051,
1948-01-01,10883,10.738011076568332,13.56568924136492
1948-02-01,10866,2.771112105531848,10.292326431181475
1948-03-01,11021,6.7693005822276,12.816050772852904
1948-04-01,11210,12.571365381287446,12.69729566703528
1948-05-01,10906,1.4806337197327937,8.39876751813935
1948-06-01,11173,5.631922861255911,10.122215651488276
1948-07-01,11257,1.687650717585032,10.623034591194958
1948-08-01,11331,16.522819523910748,11.734542944482795
1948-09-01,11230,2.0563025447160266,7.340852609443704
1948-10-01,11240,-0.6027015859969231,5.947780186634
1948-11-01,11159,-5.934980006902002,3.4006671608598937
1948-12-01,11404,6.343220780284486,5.183545471315254
1949-01-01,10949,-9.960602937107366,0.6064504272718985
1949-02-01,11099,-2.133446292838792,2.144303331492736
1949-03-01,11191,-7.264344009884782,1.542509754105792
1949-04-01,11290,13.051920548743269,0.7136485280999194
1949-05-01,11223,4.544320953346914,2.906656886117731
1949-06-01,11217,0.9325618424259609,0.3938064978072031
1949-07-01,10993,-10.114602327176502,-2.345207426490181
1949-08-01,11106,-4.105251413107991,-1.9857029388403502
1949-09-01,11263,1.6504854331359509,0.2938557435440803
1949-10-01,11160,6.216470625045578,-0.7117437722419906
1949-11-01,11221,4.206683198235628,0.5556053409803807
1949-12-01,11052,-7.285605038389875,-3.0866362679761505
1950-01-01,11339,6.571785691370247,3.5619691296008726
1950-02-01,11589,13.777818328521452,4.414812145238312
1950-03-01,11674,24.484491872100044,4.315968188723085
1950-04-01,11716,13.977317339519434,3.773250664304695
1950-05-01,11916,11.77331375977584,6.17481956696071
1950-06-01,12345,25.05055431369456,10.056164749933139
1950-07-01,13300,66.06920698747076,20.98608205221504
1950-08-01,13349,57.49724235863292,20.196290293535025
1950-09-01,12694,11.796858197574236,12.705318298854662
1950-10-01,12358,-25.460547301880787,10.734767025089598
1950-11-01,12069,-33.18250083147816,7.557258711344805
1950-12-01,12959,8.61554446177002,17.2547955121245
1951-01-01,13885,59.36420216055058,22.453479142781553
1951-02-01,13716,66.81102716606016,18.35361118301837
1951-03-01,13021,1.9275055976275544,11.538461538461542
1951-04-01,12735,-29.23601840767035,8.697507681802662
1951-05-01,12840,-23.20195065843753,7.7542799597180245
1951-06-01,12792,-6.851375248926894,3.620899149453227
1951-07-01,12651,-2.612408423027257,-4.879699248120306
1951-08-01,12936,3.0243617430602665,-3.0938647089669646
1951-09-01,12855,1.9845821771180328,1.26831573971955
1951-10-01,13094,14.759837180968136,5.955656255057451
1951-11-01,13099,5.136264143534963,8.534261330681915
1951-12-01,12924,2.16437287272766,-0.27008256809939457
1952-01-01,13030,-1.9408066150590877,-6.157724162765577
1952-02-01,13274,5.451966902977112,-3.222513852435116
1952-03-01,12890,-1.0481605128024318,-1.0060671223408368
1952-04-01,13208,5.577306531973103,3.7141735374951024
1952-05-01,13708,13.733690023598587,6.7601246105919
1952-06-01,13885,34.63930678569162,8.544402751719815
1952-07-01,13512,9.52929826578619,6.805786103865308
1952-08-01,13212,-13.706541122650528,2.133580705009286
1952-09-01,13430,-12.477338789666936,4.4729677168416915
1952-10-01,14047,16.803480337604082,7.278142660760656
1952-11-01,13891,22.196786524099156,6.046263073517055
1952-12-01,14266,27.32240342411767,10.38378211080162
1953-01-01,14352,8.972113261531312,10.145817344589414
1953-02-01,14325,13.09527926021321,7.917733915925873
1953-03-01,14418,4.330480129264558,11.85415050426688
1953-04-01,14218,-3.682691799030569,7.646880678376733
1953-05-01,14167,-4.339410453104698,3.348409687773568
1953-06-01,14146,-7.335256008534885,1.8797263233705452
1953-07-01,14090,-3.5527314012550715,4.277679100059206
1953-08-01,14017,-4.168404727016628,6.092945806842254
1953-09-01,14007,-3.8728869248490727,4.296351451973202
1953-10-01,14060,-0.8489516904310324,0.09254645119953775
1953-11-01,13855,-4.543429534927334,-0.2591606075876496
1953-12-01,13719,-7.974261821126472,-3.834291322024397
1954-01-01,13712,-9.53888517946744,-4.4593088071348985
1954-02-01,14055,5.900321677557163,-1.8848167539266991
1954-03-01,14020,9.069225725409469,-2.76043834096269
1954-04-01,13991,8.390646845629867,-1.596567731045151
1954-05-01,13957,-2.760008050283702,-1.482318063104393
1954-06-01,14272,7.385907986610229,0.8907111550968461
1954-07-01,13991,0.0,-0.7026259758694087
1954-08-01,13996,1.1224122974672124,-0.14981807804808067
1954-09-01,14073,-5.46178401629861,0.4711929749410926
1954-10-01,14081,2.5980171702802317,0.14935988620199403
1954-11-01,14406,12.242648675351475,3.976903644893537
1954-12-01,14671,18.11148169176049,6.9392812887236754
1955-01-01,14765,20.89262597898196,7.6794049008168
1955-02-01,14896,14.31547171862697,5.983635716826763
1955-03-01,15005,9.42212148744439,7.0256776034236745
1955-04-01,15255,13.950187127406256,9.034379243799595
1955-05-01,15260,10.138581784829492,9.335817152683234
1955-06-01,15126,3.2648182965640205,5.98374439461884
1955-07-01,15404,3.96452936046705,10.099349581874062
1955-08-01,15418,4.20631318907374,10.160045727350674
1955-09-01,15677,15.386619283118286,11.397711930647336
1955-10-01,15715,8.323703958662776,11.604289468077544
1955-11-01,15652,6.210435982220308,8.649173955296408
