DATE,CPIAUCSL,3m growth rate,12m growth rate
1961-11-01,29.98,0.5354740379545975,0.671591672263272
1961-12-01,30.01,0.4008680462650682,0.6709158000671067
1962-01-01,30.04,0.8029401003417203,0.6702412868632601
1962-02-01,30.11,1.745804012383645,0.9048257372654245
1962-03-01,30.17,2.1497384553968546,1.1058981233244003
1962-04-01,30.21,2.2829364575537747,1.3418316001341912
1962-05-01,30.24,1.7382177204780636,1.3404825737265424
1962-06-01,30.21,0.5313837528189813,1.2399463806970434
1962-07-01,30.22,0.1324722454697502,1.0026737967914423
1962-08-01,30.28,0.5301512577956746,1.135604542418167
1962-09-01,30.42,2.8096635202536246,1.4676450967311627
1962-10-01,30.38,2.1346813063265246,1.3342228152101399
1962-11-01,30.38,1.3275623255452285,1.3342228152101399
1962-12-01,30.38,-0.5249332501617632,1.2329223592135952
1963-01-01,30.44,0.7923368356539617,1.331557922769644
1963-02-01,30.48,1.3231709054108531,1.2288276320159497
1963-03-01,30.51,1.7226703557344791,1.1269472986410234
1963-04-01,30.48,0.526661139549156,0.893743793445867
1963-05-01,30.51,0.3942824200563244,0.8928571428571619
1963-06-01,30.61,1.3175053063272824,1.3240648791790655
1963-07-01,30.69,2.7845178637541546,1.5552614162806178
1963-08-01,30.75,3.183831378481927,1.5521796565389767
1963-09-01,30.72,1.4452056882319653,0.9861932938855844
1963-10-01,30.75,0.7843099709454737,1.2179065174456882
1963-11-01,30.78,0.3908153626070998,1.3166556945358954
1963-12-01,30.88,2.0996659626195235,1.6458196181698526
1964-01-01,30.94,2.494546220464522,1.6425755584756896
1964-02-01,30.91,1.7001417563466736,1.4107611548556331
1964-03-01,30.94,0.779470169591967,1.4093739757456536
1964-04-01,30.95,0.1293451730806749,1.5419947506561726
1964-05-01,30.98,0.9089375131482668,1.5404785316289749
1964-06-01,31.01,0.9080532006369602,1.3067624959163693
1964-07-01,31.02,0.9077588120533164,1.0752688172043001
1964-08-01,31.05,0.906876790462796,0.9756097560975618
1964-09-01,31.08,0.905996481225846,1.171875
1964-10-01,31.12,1.2957395109360892,1.2032520325203189
1964-11-01,31.21,2.077178344088737,1.3970110461338558
1964-12-01,31.25,2.205918670501328,1.1981865284974136
1965-01-01,31.28,2.072470025935802,1.098901098901095
1965-02-01,31.28,0.900171147352502,1.1970236169524417
1965-03-01,31.31,0.7702146725141246,1.1958629605688387
1965-04-01,31.38,1.284917678971076,1.3893376413570246
1965-05-01,31.48,2.5821783622925976,1.6139444803098701
1965-06-01,31.61,3.888078308602383,1.9348597226700903
1965-07-01,31.58,2.573871040147724,1.8052869116698789
1965-08-01,31.55,0.8924247507802185,1.6103059581320522
1965-09-01,31.62,0.1266022946490697,1.737451737451745
1965-10-01,31.65,0.8895894409418847,1.7030848329048665
1965-11-01,31.75,2.559870592093616,1.7302146747837144
1965-12-01,31.85,2.9414507138790347,1.9200000000000106
1966-01-01,31.88,2.938632254653495,1.9181585677749302
1966-02-01,32.08,4.222748020129963,2.5575447570332477
1966-03-01,32.18,4.209284097267796,2.7786649632705274
1966-04-01,32.28,5.1140702608790445,2.8680688336520044
1966-05-01,32.35,3.4093245886416934,2.763659466327839
1966-06-01,32.38,2.5092883712628744,2.4359379943056148
1966-07-01,32.45,2.1232671374124656,2.754908169727699
1966-08-01,32.65,3.761347340858467,3.4865293185419866
1966-09-01,32.75,4.64966432762306,3.5736875395319334
1966-10-01,32.85,5.022581937984483,3.791469194312813
1966-11-01,32.88,2.847678470420534,3.5590551181102548
1966-12-01,32.92,2.0925587869959905,3.3594976452119285
1967-01-01,32.9,0.61021943537376,3.19949811794229
1967-02-01,33.0,1.467865378896005,2.8678304239401653
1967-03-01,33.0,0.9756025366934872,2.5481665630826544
1967-04-01,33.1,2.453873682113117,2.5402726146220633
1967-05-01,33.1,1.2176419930164606,2.3183925811437467
1967-06-01,33.3,3.686251622156944,2.8412600370598895
1967-07-01,33.4,3.674963740110071,2.9275808936825687
1967-08-01,33.5,4.922167331892835,2.6033690658499253
1967-09-01,33.6,3.652594084881789,2.595419847328251
1967-10-01,33.7,3.6415110611586874,2.5875190258751957
1967-11-01,33.9,4.862344807517127,3.10218978102188
1967-12-01,34.0,4.847615657185012,3.280680437424044
1968-01-01,34.1,4.832975458138367,3.647416413373872
1968-02-01,34.2,3.58708964323573,3.6363636363636376
1968-03-01,34.3,3.576399954801768,3.9393939393939315
1968-04-01,34.4,3.565773782587822,3.92749244712991
1968-05-01,34.5,3.5552105622194574,4.229607250755274
1968-06-01,34.7,4.746957927096118,4.2042042042042205
1968-07-01,34.9,5.941943930793014,4.491017964071853
1968-08-01,35.0,5.924347428153776,4.477611940298498
1968-09-01,35.1,4.691293739046332,4.464285714285721
1968-10-01,35.3,4.663948264911011,4.7477744807121525
1968-11-01,35.4,4.650394708871275,4.424778761061954
1968-12-01,35.6,5.82091831595144,4.705882352941182
1969-01-01,35.7,4.610202527017271,4.692082111436946
1969-02-01,35.8,4.596959052856353,4.678362573099393
1969-03-01,36.1,5.737445892164228,5.247813411078739
1969-04-01,36.3,6.894075541464106,5.523255813953476
1969-05-01,36.4,6.874335632365769,5.507246376811592
1969-06-01,36.6,5.656333083234122,5.475504322766556
1969-07-01,36.8,5.624526370859106,5.4441260744985565
1969-08-01,36.9,5.608756750012933,5.428571428571427
1969-09-01,37.1,5.577481252000394,5.698005698005693
1969-10-01,37.3,5.546552539274274,5.665722379603411
1969-11-01,37.5,6.664427392247885,5.932203389830515
1969-12-01,37.7,6.627631488269814,5.89887640449438
1970-01-01,37.9,6.591239546739702,6.162464985994376
1970-02-01,38.1,6.555244953600004,6.424581005586605
1970-03-01,38.3,6.519641238357488,6.094182825484751
1970-04-01,38.5,6.484422070210383,6.060606060606077
1970-05-01,38.6,5.353584393550692,6.043956043956045
1970-06-01,38.8,5.325082142317106,6.010928961748618
1970-07-01,38.9,4.221060321922088,5.7065217391304435
