DATE,INDPRO,3m growth rate,12m growth rate
1919-01-01,4.8665,,
1919-02-01,4.6514,,
1919-03-01,4.517,,
1919-04-01,4.5976,-20.336785690594795,
1919-05-01,4.6245,-2.293292003104319,
1919-06-01,4.9203,40.78810749156672,
1919-07-01,5.216,65.66302770765526,
1919-08-01,5.2967,72.09266787519968,
1919-09-01,5.1891,23.70915123313053,
1919-10-01,5.1354,-6.039184777526263,
1919-11-01,5.0547,-17.060762647755578,
1919-12-01,5.1354,-4.075632004998653,
1920-01-01,5.6193,43.3612461161714,15.469022911743547
1920-02-01,5.6193,52.73808256873818,20.808788751773655
1920-03-01,5.5118,32.701763654070625,22.023466902811585
1920-04-01,5.216,-25.762821656119005,13.450495910910053
1920-05-01,5.3505,-17.80439446597025,15.69899448589036
1920-06-01,5.4042,-7.583003383347908,9.834766172794351
1920-07-01,5.2698,4.190039252813738,1.0314417177914148
1920-08-01,5.2967,-3.961796199823597,0.0
1920-09-01,5.1085,-20.15496081604339,-1.5532558632518123
1920-10-01,4.8934,-25.65250540255526,-4.712388518907973
1920-11-01,4.4901,-48.35805972552263,-11.169802362157998
1920-12-01,4.2212,-53.38022995527252,-17.801923900767225
1921-01-01,3.9792,-56.273954621711496,-29.186909401526883
1921-02-01,3.8986,-43.16568103354081,-30.62125175733632
1921-03-01,3.791,-34.946387288921535,-31.22029101201059
1921-04-01,3.791,-17.618050301913225,-27.319785276073628
1921-05-01,3.8986,0.0,-27.135781702644614
1921-06-01,3.8717,8.790671205206957,-28.357573738943785
1921-07-01,3.8448,5.798589105823426,-27.040874416486393
1921-08-01,3.9792,8.529638864697887,-24.8739781373308
1921-09-01,4.0061,14.62526421885688,-21.579720074385833
1921-10-01,4.2481,49.03350383126372,-13.187150038827799
1921-11-01,4.1943,23.43970922312561,-6.5878265517471775
1921-12-01,4.1674,17.10450586603136,-1.2745190940964601
1922-01-01,4.3288,7.817971789163125,8.785685564937683
1922-02-01,4.517,34.51242446216518,15.862104345149541
1922-03-01,4.7589,70.04566553525432,25.531522025850695
1922-04-01,4.5976,27.249080497047,21.276707992614096
1922-05-01,4.8396,31.776360886680894,24.13686964551376
1922-06-01,5.0816,30.00965021311388,31.249838572203426
1922-07-01,5.0816,49.23722644694399,32.16812317935913
1922-08-01,4.974,11.579715957272118,25.0
1922-09-01,5.2429,13.314214248138722,30.872918798831783
1922-10-01,5.5387,41.13328960540359,30.38064075704434
1922-11-01,5.7806,82.41836147660398,37.82037527120139
1922-12-01,5.942,64.98493599204855,42.58290540864809
1923-01-01,5.8075,20.87194312579925,34.159582332286085
1923-02-01,5.8882,7.656073896416093,30.356431259685635
1923-03-01,6.0764,9.359075563728524,27.684969215575016
1923-04-01,6.2108,30.807698174702523,35.08787193318253
1923-05-01,6.2915,30.342663697088067,30.00041325729399
1923-06-01,6.2377,11.048453418482929,22.75070843828717
1923-07-01,6.1839,-1.7212430965410364,21.69198677581865
1923-08-01,6.0764,-12.990110623043003,22.1632488942501
1923-09-01,5.942,-17.655868154132282,13.334223425966552
1923-10-01,5.9151,-16.285915389394734,6.795818513369545
1923-11-01,5.9151,-10.202769110274756,2.326748088433739
