DATE,DTWEXM,3m growth rate,12m growth rate
1981-04-13,101.8119,21.676134384062816,1.6455063061767694
1981-04-14,101.5505,20.583517704865105,0.8584095933702907
1981-04-15,102.1557,25.583378347064706,1.287463859793836
1981-04-16,102.2295,27.492217309128385,0.8129768621104816
1981-04-17,102.4044,25.859145521866388,0.12241003058295341
1981-04-20,102.4526,28.004205302915853,0.21264691613065434
1981-04-21,102.3364,24.81466358173772,-0.13427796319066543
1981-04-22,101.7415,19.287569103972224,-0.9809303022694005
1981-04-23,101.7656,17.60883174981249,-1.177626742721527
1981-04-24,101.7209,18.013660828247914,-0.08025335305777981
1981-04-27,101.4888,18.88111214417705,1.2852167144040472
1981-04-28,101.6609,16.651669756314824,1.9779494448239676
1981-04-29,102.4554,23.745929293863387,2.5311705350253844
1981-04-30,102.5625,23.741066123683208,2.8337754997683984
1981-05-01,102.4754,26.77931542859444,2.0310547565352666
1981-05-04,103.4972,33.86345172919369,4.130207531584507
1981-05-05,103.987,38.01733464436439,4.732591317589918
1981-05-06,103.5794,36.37651689738479,4.3027394984215706
1981-05-07,104.0105,38.55471708590632,5.0088188407187095
1981-05-08,103.6588,36.944262297680666,4.342451743825548
1981-05-11,104.3298,43.98029439593056,6.695778897041915
1981-05-12,104.7802,44.10723095054188,7.066169791212151
1981-05-13,104.9025,44.47701902991579,7.119006482128198
1981-05-14,105.453,55.18460644004142,8.466190779864657
1981-05-15,105.4748,55.96299734170036,8.599981672592193
1981-05-18,105.0545,50.858596135579816,8.095329720363553
1981-05-19,105.1069,48.83572101915723,7.966389834773979
1981-05-20,104.9291,45.31794907691263,7.273783076707607
1981-05-21,105.5814,47.1560834909357,8.969029179120502
1981-05-22,105.4575,45.16653336771989,9.641644434925611
1981-05-26,105.8673,48.603885323938535,10.288432389185264
1981-05-27,106.1728,50.760734857674336,10.37465265180142
1981-05-28,105.7252,46.17210883450738,9.621362464721116
1981-05-29,105.8492,47.91336879404577,10.864719929615818
1981-06-01,105.8061,49.694786133221136,10.725408446459305
1981-06-02,106.6058,56.88035429175768,11.856571163559826
1981-06-03,106.5281,51.33885584261564,11.629688389068814
1981-06-04,108.1679,58.42056842512642,13.026809514206228
1981-06-05,108.3872,57.90262179787684,13.19043615838089
1981-06-08,108.1583,54.91609337395575,13.288810354525381
1981-06-09,108.1638,51.87039992857099,14.502667682926829
1981-06-10,107.1443,44.42961928539653,13.443956339488118
1981-06-11,107.8557,43.57566788615135,14.909659252535379
1981-06-12,107.4507,44.45140268801136,15.223690136616108
1981-06-15,105.8695,33.68399318273101,12.669318723607148
1981-06-16,105.9591,37.024360853909165,12.629467588458887
1981-06-17,106.0436,34.33343229280295,12.75068739008669
1981-06-18,106.6989,37.5657807199628,13.329467133584627
1981-06-19,106.9684,39.072109217325135,13.546609260922281
1981-06-22,106.4614,35.26981529843805,13.415348689551143
1981-06-23,106.1835,33.990479838459045,13.325257742961426
1981-06-24,106.5725,26.610460098963685,14.096844611601277
1981-06-25,107.3507,30.7553405682889,15.660066131053263
1981-06-26,107.3334,31.86493653491982,15.636941886008614
1981-06-29,107.4379,36.91631923315308,15.528350376893885
1981-06-30,107.7116,42.63958910870373,16.01377797978971
1981-07-01,108.3533,42.1433610906973,17.039250971606833
1981-07-02,108.2467,40.81299856696381,16.595773557103534
1981-07-03,108.4576,42.02848946148296,16.682051050333826
1981-07-06,109.0211,43.02540994482917,17.47203844579015
1981-07-07,108.8123,38.762527204212674,17.11631521392838
1981-07-08,109.5468,38.75396506819755,17.74313512212111
1981-07-09,109.3897,40.14173185151731,17.775047857347424
1981-07-10,108.8353,39.02904047199822,17.024939302250065
1981-07-13,108.6648,38.10861488252657,16.58737873452598
1981-07-14,109.5105,42.19216526479303,17.73069240510956
1981-07-15,108.6989,42.74127538604764,16.91888199893514
1981-07-16,108.8675,44.01319135656499,16.81287836031169
1981-07-17,109.249,44.15972539580555,17.3633872296723
1981-07-20,109.7309,47.252912540570826,18.088113909488413
1981-07-21,110.4973,52.49839605841087,19.024577829434143
1981-07-22,110.0834,53.10421697275196,19.329141188419953
1981-07-23,110.4146,55.855216189799584,19.44551722048955
1981-07-24,109.9737,57.8085396005535,19.023664316289036
1981-07-27,110.4947,60.77313214359381,19.783555368132568
1981-07-28,110.7884,60.71906090715567,19.873881204231083
1981-07-29,111.091,58.92327193110327,20.000561704297247
1981-07-30,111.215,60.51798867697647,19.783342021480554
1981-07-31,111.9061,63.87812120409117,20.726368481239344
1981-08-03,113.7953,69.90302972697755,23.09939875683944
1981-08-04,114.0025,67.83612372893384,22.7615355623755
1981-08-05,113.0089,65.29804040272211,21.74836272121712
1981-08-06,112.9617,63.801805086787546,21.77675388335436
1981-08-07,112.6825,63.60398826779621,20.971075156497744
1981-08-10,113.359,64.6367699548299,22.0245752084264
1981-08-11,112.9857,55.78752136028311,21.129217277571087
1981-08-12,111.1856,50.50049162105028,18.7105425838475
1981-08-13,111.6889,52.41888351229418,18.83618341533171
1981-08-14,112.0054,52.24390771259287,18.559612498121126
1981-08-17,110.8974,44.43958663563337,17.32021234504164
1981-08-18,110.4417,38.464411097209016,16.651034570170143
1981-08-19,110.5236,40.31103409579533,17.123137424455813
1981-08-20,109.8824,33.86348580067455,16.704229002088056
1981-08-21,109.1482,29.945536134608552,16.319035926816383
1981-08-24,109.7323,31.844937683454933,16.54790493255063
1981-08-25,110.8183,36.88441288254598,17.626772867093088
1981-08-26,110.1034,33.99308303506463,16.84277438367605
1981-08-27,110.2603,37.93806650639328,17.419733404896775
1981-08-28,109.45,33.80091199364039,16.439267001781953
1981-08-31,109.5374,34.46490107923423,16.416695362352108
1981-09-01,109.9155,37.58252939199978,16.645353680602337
1981-09-02,109.2655,33.449339615060445,15.454312993715114
1981-09-03,109.0917,28.53678269869766,15.39186504788439
1981-09-04,108.9346,27.264999050503768,15.459566480513253
1981-09-08,109.9515,32.53364593588988,16.467137542688135
1981-09-09,110.2961,28.9811435016055,16.589606985053162
1981-09-10,109.2162,21.68360038787347,15.73607611167509
1981-09-11,109.4811,24.813926349108083,16.60670236832351
1981-09-14,109.0353,20.77019147019572,16.182127383892777
1981-09-15,107.6654,16.380421334514427,15.271719695850393
1981-09-16,107.3462,12.076149434061657,14.693585799929254
1981-09-17,106.9368,8.49053325151148,15.120113250405055
1981-09-18,106.7918,7.40098730744192,14.850516167957029
1981-09-21,105.5829,0.4936425476159245,13.39185701720378
1981-09-22,106.8214,5.205445537874964,14.461106557157466
