DATE,MYAGM2USM052S,3m growth rate,12m growth rate
1959-01-01,286600000000.0,,
1959-02-01,287700000000.0,,
1959-03-01,289200000000.0,,
1959-04-01,290100000000.0,4.975069530317344,
1959-05-01,292200000000.0,6.404843876297672,
1959-06-01,294100000000.0,6.951515659192342,
1959-07-01,295200000000.0,7.219677695506399,
1959-08-01,296400000000.0,5.874641024772531,
1959-09-01,296700000000.0,3.5833821431257684,
1959-10-01,296500000000.0,1.7731878557628589,
1959-11-01,297100000000.0,0.9480211385169968,
1959-12-01,297800000000.0,1.4912469482960766,
1960-01-01,298200000000.0,2.313222986486529,4.04745289602233
1960-02-01,298500000000.0,1.8982521462794557,3.7539103232533844
1960-03-01,299400000000.0,2.1664752292358536,3.526970954356856
1960-04-01,300100000000.0,2.573086801515556,3.4470872113064432
1960-05-01,300900000000.0,3.255075622204129,2.977412731006157
1960-06-01,302300000000.0,3.931071480931237,2.7881672900374133
1960-07-01,304100000000.0,5.439102095961101,3.0149051490514944
1960-08-01,306900000000.0,8.217825420194202,3.5425101214574983
1960-09-01,308400000000.0,8.31906156715647,3.9433771486349745
1960-10-01,309500000000.0,7.294369700052172,4.384485666104543
1960-11-01,310900000000.0,5.316237311797711,4.644900706832722
1960-12-01,312400000000.0,5.289878203214804,4.902619207521819
1961-01-01,314100000000.0,6.078930425186568,5.331991951710258
1961-02-01,316500000000.0,7.40190121070583,6.030150753768848
1961-03-01,318300000000.0,7.771134249591749,6.312625250501003
1961-04-01,319900000000.0,7.593296718468645,6.5978007330889765
1961-05-01,322200000000.0,7.400743269416354,7.07876370887337
1961-06-01,324300000000.0,7.755945066080594,7.277538868673505
1961-07-01,325600000000.0,7.319990247007735,7.070042749095684
1961-08-01,327600000000.0,6.874335632365658,6.74486803519061
1961-09-01,329500000000.0,6.569733817500523,6.841763942931256
1961-10-01,331100000000.0,6.929894451458041,6.97899838449112
1961-11-01,333400000000.0,7.272106667239253,7.2370537150209024
1961-12-01,335500000000.0,7.485138969240324,7.3943661971831
1962-01-01,337500000000.0,7.958883793924154,7.449856733524363
1962-02-01,340100000000.0,8.283963989808353,7.456556082148502
1962-03-01,343100000000.0,9.373667286976971,7.791391768771594
