DATE,AWHMAN,3m growth rate,12m growth rate
1952-06-01,40.6,0.0,-0.7334963325183352
1952-07-01,40.2,-0.9888675623893728,-0.9852216748768461
1952-08-01,40.7,1.9899887882285583,0.7425742574257432
1952-09-01,41.1,5.017857336225751,1.7326732673267342
1952-10-01,41.2,10.327722165548291,2.2332506203474045
1952-11-01,41.2,5.005301736965895,1.980198019801982
1952-12-01,41.2,0.9767937309630436,1.228501228501222
1953-01-01,41.1,-0.9673447679132364,0.7352941176470784
1953-02-01,41.0,-1.9276543357310996,0.4901960784313708
1953-03-01,41.2,0.0,1.4778325123152802
1953-04-01,40.9,-1.9323102303218764,1.488833746898277
1953-05-01,41.0,0.0,1.2345679012345734
1953-06-01,40.9,-2.8809628963222367,0.738916256157629
1953-07-01,40.7,-1.9416898177087027,1.243781094527363
1953-08-01,40.7,-2.8948619469232884,0.0
1953-09-01,40.1,-7.597385745672113,-2.4330900243308973
1953-10-01,40.1,-5.767686509638392,-2.669902912621358
1953-11-01,40.0,-6.704149444227026,-2.912621359223311
1953-12-01,39.7,-3.930719841269692,-3.6407766990291246
1954-01-01,39.5,-5.852044796870048,-3.8929440389294467
1954-02-01,39.7,-2.966418433593732,-3.170731707317065
1954-03-01,39.6,-1.0037561745978918,-3.8834951456310662
1954-04-01,39.7,2.040750594587992,-2.933985330073341
1954-05-01,39.7,0.0,-3.170731707317065
1954-06-01,39.7,1.0139335956707465,-2.933985330073341
1954-07-01,39.7,0.0,-2.457002457002455
1954-08-01,39.8,1.0113699610501126,-2.211302211302224
1954-09-01,39.9,2.0303921134269043,-0.4987531172069848
1954-10-01,39.7,0.0,-0.9975062344139585
1954-11-01,40.1,3.0493370547048704,0.24999999999999467
1954-12-01,40.1,2.020138253530579,1.0075566750629594
1955-01-01,40.4,7.241636678931407,2.278481012658218
1955-02-01,40.6,5.081592010985481,2.267002518891692
1955-03-01,40.7,6.120709866927232,2.77777777777779
1955-04-01,40.8,4.019602999607885,2.7707808564231495
1955-05-01,41.1,5.017857336225751,3.5264483627204024
