DATE,HTRUCKSSA,3m growth rate,12m growth rate
1975-08-01,25.6,43.25059404189013,-25.14619883040936
1975-09-01,25.9,52.67761678249423,-34.43037974683545
1975-10-01,26.4,9.631885564558962,-18.76923076923077
1975-11-01,24.0,-22.75238037109375,-24.050632911392412
1975-12-01,21.0,-56.78066078634652,-39.30635838150289
1976-01-01,25.1,-18.289253450449795,-10.035842293906805
1976-02-01,24.7,12.18708046995558,-7.835820895522394
1976-03-01,24.4,82.25612250039842,-2.400000000000002
1976-04-01,25.6,8.209396600609441,8.936170212765958
1976-05-01,26.4,30.50522340601367,12.82051282051282
1976-06-01,27.0,49.932489203797736,15.879828326180245
1976-07-01,28.7,57.96749296132475,11.240310077519378
1976-08-01,29.9,64.53907285669878,16.79687499999998
1976-09-01,33.4,134.16975987927157,28.957528957528964
1976-10-01,23.8,-52.708810122299774,-9.84848484848484
1976-11-01,27.1,-32.51730626162021,12.916666666666664
1976-12-01,27.5,-54.0437156345845,30.952380952380953
1977-01-01,31.4,202.97776953156963,25.099601593625476
1977-02-01,31.1,73.446041529458,25.910931174089068
1977-03-01,32.4,92.68560258561575,32.78688524590163
1977-04-01,31.8,5.193737964094303,24.21875
1977-05-01,31.6,6.5876223146235535,19.696969696969703
1977-06-01,31.8,-7.2041745932285846,17.777777777777782
1977-07-01,27.9,-40.74727431065358,-2.7874564459930307
1977-08-01,30.9,-8.570659477174814,3.3444816053511683
1977-09-01,31.3,-6.142524174788566,-6.287425149700587
1977-10-01,32.4,81.87090493881573,36.13445378151259
1977-11-01,33.6,39.80515710045851,23.985239852398532
1977-12-01,32.2,12.00725052219964,17.09090909090911
1978-01-01,30.9,-17.271742506458853,-1.5923566878980888
1978-02-01,32.8,-9.1890403175632,5.466237942122176
1978-03-01,37.7,87.90654789978825,16.358024691358032
1978-04-01,36.8,101.16728610069568,15.723270440251568
1978-05-01,39.0,99.87710625230702,23.417721518987335
1978-06-01,40.0,26.728578798693214,25.786163522012572
1978-07-01,36.8,0.0,31.899641577060933
1978-08-01,30.8,-61.10046248856143,-0.3236245954692518
