,label,value
0,title,buy 3 month/ 12 month Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
1,total,33
2,win-count,16
3,percent-win,0.48484848484848486
4,pnl-average,-0.2587878787878788
5,trade-len,4.818181818181818
6,expected-value,-0.12547291092745638
