,label,value
0,title,buy 3 month/ 12 month Net Free or Borrowed Reserves of Depository Institutions
1,total,38
2,win-count,22
3,percent-win,0.5789473684210527
4,pnl-average,0.27297297297297296
5,trade-len,4.864864864864865
6,expected-value,0.15803698435277383
