,label,value
0,title,buy 3 month/ 12 month M1 Money Stock
1,total,32
2,win-count,17
3,percent-win,0.53125
4,pnl-average,-0.18064516129032251
5,trade-len,4.387096774193548
6,expected-value,-0.09596774193548384
