,label,value
0,title,buy 3 month/ 12 month Effective Federal Funds Rate
1,total,26
2,win-count,16
3,percent-win,0.6153846153846154
4,pnl-average,0.17461538461538473
5,trade-len,5.615384615384615
6,expected-value,0.10745562130177522
