,label,value
0,title,buy 12 month YoY Industrial Production: Total Index
1,total,9
2,win-count,5
3,percent-win,0.5555555555555556
4,pnl-average,1.0699999999999996
5,trade-len,25.875
6,expected-value,0.5944444444444442
