,label,value
0,title,"buy 3 month/ 12 month All Employees, Total Nonfarm"
1,total,26
2,win-count,19
3,percent-win,0.7307692307692307
4,pnl-average,0.511923076923077
5,trade-len,5.538461538461538
6,expected-value,0.37409763313609473
