,label,value
0,title,buy 3 month/ 12 month All Sectors; Commercial Paper; Liability
1,total,24
2,win-count,14
3,percent-win,0.5833333333333334
4,pnl-average,0.15304347826086948
5,trade-len,6.391304347826087
6,expected-value,0.08927536231884053
