,label,value
0,title,"buy 3 month/ 12 month Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing"
1,total,46
2,win-count,30
3,percent-win,0.6521739130434783
4,pnl-average,0.12369565217391303
5,trade-len,2.869565217391304
6,expected-value,0.0806710775047259
