,label,value
0,title,"buy 3 month/ 12 month Interest Rates, Discount Rate for United States"
1,total,18
2,win-count,13
3,percent-win,0.7222222222222222
4,pnl-average,0.1161111111111112
5,trade-len,8.777777777777779
6,expected-value,0.0838580246913581
