,label,value
0,title,buy 3 month/ 12 month 10-Year Treasury Constant Maturity Minus Federal Funds Rate
1,total,139
2,win-count,82
3,percent-win,0.5899280575539568
4,pnl-average,9.244460431654709
5,trade-len,1.4820143884892085
6,expected-value,5.453566585580475
