,label,value
0,title,buy 3 month/ 12 month Retail Sales (Monthly)
1,total,52
2,win-count,31
3,percent-win,0.5961538461538461
4,pnl-average,0.30588235294117644
5,trade-len,2.8627450980392157
6,expected-value,0.18235294117647058
