,label,value
0,title,buy 3 month/ 12 month New Privately-Owned Housing Units Started: Total Units
1,total,45
2,win-count,31
3,percent-win,0.6888888888888889
4,pnl-average,0.14911111111111108
5,trade-len,3.066666666666667
6,expected-value,0.10272098765432097
