,label,value
0,title,buy 3 month/ 12 month Motor Vehicle Retail Sales: Heavy Weight Trucks
1,total,42
2,win-count,23
3,percent-win,0.5476190476190477
4,pnl-average,-0.033095238095238046
5,trade-len,2.5714285714285716
6,expected-value,-0.018123582766439883
