,label,value
0,title,buy 3 month/ 12 month M2 Money Stock
1,total,32
2,win-count,17
3,percent-win,0.53125
4,pnl-average,0.002903225806451594
5,trade-len,4.580645161290323
6,expected-value,0.0015423387096774094
