,label,value
0,title,buy 3 month/ 12 month Nonfinancial Business; Inventories (Excluding Farms)
1,total,20
2,win-count,16
3,percent-win,0.8
4,pnl-average,0.4455000000000001
5,trade-len,7.5
6,expected-value,0.3564000000000001
