,label,value
0,title,buy 3 month/ 12 month  Current General Activity; Diffusion Index for Federal Reserve District 3: Philadelphia
1,total,26
2,win-count,14
3,percent-win,0.5384615384615384
4,pnl-average,-0.11269230769230774
5,trade-len,4.8076923076923075
6,expected-value,-0.06068047337278109
