,label,value
0,title,"buy 3 month/ 12 month Total Consumer Credit Owned and Securitized, Outstanding"
1,total,28
2,win-count,13
3,percent-win,0.4642857142857143
4,pnl-average,8.275273470585657e-17
5,trade-len,4.407407407407407
6,expected-value,3.842091254200484e-17
