,label,value
0,title,"buy 3 month/ 12 month Trade Weighted U.S. Dollar Index: Major Currencies, Goods"
1,total,20
2,win-count,9
3,percent-win,0.45
4,pnl-average,-1.9068421052631586
5,trade-len,4.105263157894737
6,expected-value,-0.8580789473684214
