,label,value
0,title,buy 3 month/ 12 month Non-Borrowed Reserves of Depository Institutions
1,total,39
2,win-count,27
3,percent-win,0.6923076923076923
4,pnl-average,0.03236842105263152
5,trade-len,3.5
6,expected-value,0.02240890688259105
