,label,value
0,title,buy 3 month/ 12 month Leading Indicators OECD: Leading indicators: CLI: Normalised for the United States
1,total,16
2,win-count,12
3,percent-win,0.75
4,pnl-average,0.3920000000000002
5,trade-len,8.133333333333333
6,expected-value,0.29400000000000015
