,Time,Buy/Sell MYAGM1USM052S,Buy/Sell MYAGM2USM052S,Buy/Sell BOGZ1FL893169105Q,Buy/Sell BUSLOANS,Buy/Sell TOTALSL,sum,average
106,1994-01-01,0,0,0,0,0,4,0.8
107,1994-02-01,0,-1,0,0,0,3,0.6
108,1994-03-01,0,0,0,0,0,3,0.6
109,1994-04-01,0,0,0,0,0,3,0.6
110,1994-05-01,0,1,0,0,0,4,0.8
111,1994-06-01,0,-1,0,0,0,3,0.6
112,1994-07-01,0,0,0,0,0,3,0.6
113,1994-08-01,0,0,0,0,0,3,0.6
114,1994-09-01,0,0,0,0,0,3,0.6
115,1994-10-01,0,0,0,0,0,3,0.6
116,1994-11-01,0,0,0,0,0,3,0.6
117,1994-12-01,0,0,-1,0,0,2,0.4
118,1995-01-01,0,1,0,0,0,3,0.6
119,1995-02-01,0,-1,0,0,0,2,0.4
120,1995-03-01,0,1,0,0,-1,2,0.4
121,1995-04-01,0,0,0,0,0,2,0.4
122,1995-05-01,0,0,0,-1,1,2,0.4
123,1995-06-01,0,0,0,0,-1,1,0.2
124,1995-07-01,0,0,0,0,0,1,0.2
125,1995-08-01,1,0,0,0,0,2,0.4
126,1995-09-01,0,0,1,0,0,3,0.6
127,1995-10-01,-1,0,0,0,0,2,0.4
128,1995-11-01,0,-1,0,0,1,2,0.4
129,1995-12-01,0,0,0,0,-1,1,0.2
130,1996-01-01,0,0,0,0,1,2,0.4
131,1996-02-01,0,0,0,0,-1,1,0.2
132,1996-03-01,1,1,0,0,0,3,0.6
133,1996-04-01,0,-1,0,0,0,2,0.4
134,1996-05-01,0,1,0,0,0,3,0.6
135,1996-06-01,-1,-1,-1,1,0,1,0.2
136,1996-07-01,0,0,0,0,0,1,0.2
137,1996-08-01,0,0,0,-1,0,0,0.0
138,1996-09-01,0,0,1,1,0,2,0.4
139,1996-10-01,0,0,0,0,0,2,0.4
140,1996-11-01,0,0,0,0,0,2,0.4
141,1996-12-01,0,1,-1,0,0,2,0.4
142,1997-01-01,1,0,0,0,0,3,0.6
143,1997-02-01,0,0,0,0,0,3,0.6
144,1997-03-01,0,-1,0,-1,0,1,0.2
145,1997-04-01,-1,0,0,1,0,1,0.2
146,1997-05-01,0,1,0,0,0,2,0.4
147,1997-06-01,1,0,1,-1,0,3,0.6
148,1997-07-01,0,0,0,0,0,3,0.6
149,1997-08-01,0,0,0,0,0,3,0.6
150,1997-09-01,0,0,0,0,0,3,0.6
151,1997-10-01,0,0,0,0,1,4,0.8
152,1997-11-01,-1,0,0,0,0,3,0.6
153,1997-12-01,1,0,-1,0,0,3,0.6
154,1998-01-01,0,0,0,1,-1,3,0.6
155,1998-02-01,0,0,0,0,0,3,0.6
156,1998-03-01,0,0,0,0,0,3,0.6
157,1998-04-01,-1,0,0,-1,1,2,0.4
158,1998-05-01,0,0,0,0,0,2,0.4
159,1998-06-01,0,-1,0,1,0,2,0.4
160,1998-07-01,0,0,0,0,-1,1,0.2
161,1998-08-01,0,0,0,0,0,1,0.2
162,1998-09-01,1,1,1,-1,0,3,0.6
163,1998-10-01,0,0,0,1,1,5,1.0
164,1998-11-01,0,0,0,0,-1,4,0.8
165,1998-12-01,0,0,-1,0,0,3,0.6
166,1999-01-01,0,0,0,-1,0,2,0.4
167,1999-02-01,-1,-1,0,0,1,1,0.2
168,1999-03-01,0,0,1,0,-1,1,0.2
169,1999-04-01,0,0,0,0,1,2,0.4
170,1999-05-01,0,0,0,0,-1,1,0.2
171,1999-06-01,0,0,0,0,1,2,0.4
172,1999-07-01,0,0,0,0,0,2,0.4
173,1999-08-01,0,0,0,1,0,3,0.6
174,1999-09-01,0,0,0,0,0,3,0.6
175,1999-10-01,0,0,0,0,-1,2,0.4
176,1999-11-01,1,0,0,0,0,3,0.6
177,1999-12-01,0,1,-1,0,0,3,0.6
178,2000-01-01,0,0,0,0,0,3,0.6
179,2000-02-01,-1,0,0,-1,0,1,0.2
180,2000-03-01,0,0,0,1,1,3,0.6
181,2000-04-01,0,0,0,0,0,3,0.6
182,2000-05-01,0,0,0,0,0,3,0.6
183,2000-06-01,0,-1,0,0,0,2,0.4
184,2000-07-01,0,0,0,0,0,2,0.4
185,2000-08-01,0,0,0,-1,0,1,0.2
186,2000-09-01,0,1,0,0,0,2,0.4
187,2000-10-01,0,0,0,0,0,2,0.4
188,2000-11-01,0,-1,0,0,0,1,0.2
189,2000-12-01,0,0,0,0,-1,0,0.0
190,2001-01-01,1,1,0,0,0,2,0.4
191,2001-02-01,0,0,0,0,0,2,0.4
192,2001-03-01,0,0,0,0,0,2,0.4
193,2001-04-01,0,0,0,0,0,2,0.4
194,2001-05-01,0,0,0,0,0,2,0.4
195,2001-06-01,0,-1,1,0,0,2,0.4
196,2001-07-01,0,0,0,0,0,2,0.4
197,2001-08-01,0,0,0,0,0,2,0.4
198,2001-09-01,0,1,-1,0,0,2,0.4
199,2001-10-01,0,0,0,0,0,2,0.4
200,2001-11-01,0,0,0,0,1,3,0.6
201,2001-12-01,-1,-1,0,0,0,1,0.2
202,2002-01-01,1,0,0,0,0,2,0.4
203,2002-02-01,-1,0,0,1,-1,1,0.2
204,2002-03-01,0,0,1,0,0,2,0.4
205,2002-04-01,0,0,0,0,1,3,0.6
206,2002-05-01,0,0,0,-1,-1,1,0.2
207,2002-06-01,0,0,0,0,0,1,0.2
208,2002-07-01,0,0,0,0,0,1,0.2
209,2002-08-01,0,1,0,1,0,3,0.6
210,2002-09-01,1,0,-1,0,0,3,0.6
211,2002-10-01,-1,0,0,0,0,2,0.4
212,2002-11-01,1,0,0,0,0,3,0.6
213,2002-12-01,0,0,0,0,0,3,0.6
214,2003-01-01,0,0,0,0,0,3,0.6
215,2003-02-01,0,0,0,-1,0,2,0.4
216,2003-03-01,0,-1,0,0,1,2,0.4
217,2003-04-01,0,0,0,1,0,3,0.6
218,2003-05-01,0,1,0,-1,0,3,0.6
219,2003-06-01,0,0,1,0,0,4,0.8
220,2003-07-01,0,0,0,0,0,4,0.8
221,2003-08-01,-1,0,0,1,-1,3,0.6
222,2003-09-01,0,-1,0,-1,0,1,0.2
223,2003-10-01,0,0,0,0,0,1,0.2
224,2003-11-01,0,0,0,0,0,1,0.2
225,2003-12-01,0,0,-1,1,0,1,0.2
226,2004-01-01,0,0,0,0,0,1,0.2
227,2004-02-01,1,0,0,0,1,3,0.6
228,2004-03-01,-1,1,1,0,0,4,0.8
229,2004-04-01,1,0,0,0,-1,4,0.8
230,2004-05-01,-1,0,0,0,1,4,0.8
231,2004-06-01,0,0,0,0,-1,3,0.6
232,2004-07-01,0,0,0,0,0,3,0.6
233,2004-08-01,1,-1,0,0,0,3,0.6
234,2004-09-01,0,1,0,0,1,5,1.0
235,2004-10-01,0,0,0,0,0,5,1.0
236,2004-11-01,0,0,0,0,0,5,1.0
237,2004-12-01,-1,-1,0,0,0,3,0.6
238,2005-01-01,0,0,0,0,-1,2,0.4
239,2005-02-01,0,0,0,0,0,2,0.4
240,2005-03-01,0,0,-1,0,0,1,0.2
241,2005-04-01,0,0,0,0,1,2,0.4
242,2005-05-01,0,0,0,0,-1,1,0.2
243,2005-06-01,0,1,1,0,0,3,0.6
244,2005-07-01,1,0,0,0,0,4,0.8
245,2005-08-01,0,0,0,-1,1,4,0.8
246,2005-09-01,-1,0,-1,0,-1,1,0.2
247,2005-10-01,1,0,0,0,0,2,0.4
248,2005-11-01,-1,0,0,0,0,1,0.2
249,2005-12-01,0,0,0,1,0,2,0.4
250,2006-01-01,1,0,0,0,1,4,0.8
251,2006-02-01,0,0,0,0,0,4,0.8
252,2006-03-01,0,-1,1,0,0,4,0.8
253,2006-04-01,-1,0,0,0,-1,2,0.4
254,2006-05-01,1,0,0,0,0,3,0.6
255,2006-06-01,-1,0,0,0,0,2,0.4
256,2006-07-01,0,0,0,0,0,2,0.4
257,2006-08-01,0,1,0,0,0,3,0.6
258,2006-09-01,0,0,-1,-1,0,1,0.2
259,2006-10-01,1,0,0,0,0,2,0.4
260,2006-11-01,0,0,0,0,0,2,0.4
261,2006-12-01,0,0,1,0,0,3,0.6
262,2007-01-01,0,0,0,0,1,4,0.8
263,2007-02-01,-1,0,0,0,0,3,0.6
264,2007-03-01,1,-1,-1,0,0,2,0.4
265,2007-04-01,0,1,0,0,0,3,0.6
266,2007-05-01,0,0,0,1,0,4,0.8
267,2007-06-01,0,0,0,0,0,4,0.8
268,2007-07-01,-1,-1,0,0,0,2,0.4
269,2007-08-01,0,1,0,0,0,3,0.6
270,2007-09-01,1,0,1,0,0,5,1.0
271,2007-10-01,0,0,0,0,0,5,1.0
272,2007-11-01,-1,-1,0,0,0,3,0.6
273,2007-12-01,0,0,0,0,0,3,0.6
274,2008-01-01,0,0,0,-1,-1,1,0.2
275,2008-02-01,1,1,0,0,0,3,0.6
276,2008-03-01,0,0,-1,0,0,2,0.4
277,2008-04-01,0,0,0,0,0,2,0.4
278,2008-05-01,0,-1,0,0,0,1,0.2
279,2008-06-01,0,0,1,0,0,2,0.4
280,2008-07-01,0,0,0,0,0,2,0.4
281,2008-08-01,0,0,0,0,0,2,0.4
282,2008-09-01,0,1,-1,0,0,2,0.4
283,2008-10-01,0,0,0,1,0,3,0.6
284,2008-11-01,0,0,0,0,0,3,0.6
285,2008-12-01,0,0,0,-1,0,2,0.4
286,2009-01-01,0,0,0,0,0,2,0.4
287,2009-02-01,0,0,0,0,0,2,0.4
288,2009-03-01,-1,-1,0,0,0,0,0.0
289,2009-04-01,0,0,0,0,0,0,0.0
290,2009-05-01,0,0,0,0,0,0,0.0
291,2009-06-01,1,0,1,0,0,2,0.4
292,2009-07-01,-1,0,0,0,0,1,0.2
293,2009-08-01,0,0,0,0,0,1,0.2
294,2009-09-01,0,0,0,0,1,2,0.4
295,2009-10-01,0,0,0,0,-1,1,0.2
296,2009-11-01,0,0,0,0,0,1,0.2
297,2009-12-01,1,1,0,0,1,4,0.8
298,2010-01-01,-1,-1,0,1,0,3,0.6
