,label,value
0,title,buy 3 month/ 12 month 3-Month Treasury Bill: Secondary Market Rate (1934)
1,total,32
2,win-count,16
3,percent-win,0.5
4,pnl-average,-0.026249999999999912
5,trade-len,4.6875
6,expected-value,-0.013124999999999956
