,label,value
0,title,buy 3 month/ 12 month  Commercial and Industrial Loans
1,total,30
2,win-count,12
3,percent-win,0.4
4,pnl-average,0.07566666666666673
5,trade-len,4.633333333333334
6,expected-value,0.03026666666666669
