,label,value
0,title,buy 3 month/ 12 month Personal Consumption Expenditures
1,total,53
2,win-count,28
3,percent-win,0.5283018867924528
4,pnl-average,0.2790384615384615
5,trade-len,2.8653846153846154
6,expected-value,0.1474165457184325
